id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
21;Arad_Szeged;['IN_21'];['N_537', 'N_500'];[46.1817, 46.302801];[21.31056, 20.194969];['RO', 'HU'];None;{'diameter_mm': 700.0, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 46.2422505, 'length': 86.86981590950965, 'license': 'Wikipedia', 'long_mean': 20.752764499999998, 'max_cap_M_m3_per_d': 12.05, 'max_pressure_bar': 71.54413584491081, 'num_compressor': None, 'source': 'https://en.wikipedia.org/wiki/Arad%E2%80%93Szeged_pipeline', 'start_year': 1983};{'diameter_mm': 0, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': 0, 'long_mean': 0, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0.121551485, 'num_compressor': -999, 'source': 0, 'start_year': 0};{'diameter_mm': 'raw', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': 'raw', 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'raw', 'max_pressure_bar': 'Lasso', 'num_compressor': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
23;Arnoldstein_Tarvisio_Extra;['IN_23'];['N_308', 'N_239'];[46.505528, 46.5499903];[13.592806, 13.7057619];['IT', 'AT'];None;{'diameter_mm': 941.4199940872616, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 46.527759149999994, 'length': 9.958866273008491, 'license': None, 'long_mean': 13.649283950000001, 'max_cap_M_m3_per_d': 43.63859394693308, 'max_pressure_bar': 74.7299067806903, 'num_compressor': None, 'source': 'Extra', 'start_year': 1983};{'diameter_mm': -0.0029069770000000003, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': -999, 'long_mean': 0, 'max_cap_M_m3_per_d': 0.609319909, 'max_pressure_bar': 0.121551485, 'num_compressor': -999, 'source': 0, 'start_year': 0};{'diameter_mm': 'Mean', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': None, 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'Lasso', 'max_pressure_bar': 'Lasso', 'num_compressor': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
25;ArtereDeLAdour;['IN_25'];['N_538', 'N_539'];[43.3122, 43.493];[-1.986, -1.462];['ES', 'FR'];None;{'diameter_mm': 941.4199940872616, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 43.4026, 'length': 46.87871052120862, 'license': None, 'long_mean': -1.724, 'max_cap_M_m3_per_d': 43.63859394693308, 'max_pressure_bar': 74.7299067806903, 'num_compressor': None, 'source': None, 'start_year': 1983};{'diameter_mm': -0.0029069770000000003, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': -999, 'long_mean': 0, 'max_cap_M_m3_per_d': 0.609319909, 'max_pressure_bar': 0.121551485, 'num_compressor': -999, 'source': -999, 'start_year': 0};{'diameter_mm': 'Mean', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': None, 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'Lasso', 'max_pressure_bar': 'Lasso', 'num_compressor': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
27;Badajoz_Leiria;['IN_27'];['N_241', 'N_540'];[38.87665, 39.747];[-6.9714, -8.8086];['ES', 'PT'];None;{'diameter_mm': 941.4199940872616, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 39.311825, 'length': 185.38608053002025, 'license': 'EMPL', 'long_mean': -7.890000000000001, 'max_cap_M_m3_per_d': 43.63859394693308, 'max_pressure_bar': 74.7299067806903, 'num_compressor': None, 'source': 'http://www.emplpipeline.com/en/the-gas-pipeline/,Extra bei Hand', 'start_year': 1983};{'diameter_mm': -0.0029069770000000003, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': 0, 'long_mean': 0, 'max_cap_M_m3_per_d': 0.609319909, 'max_pressure_bar': 0.121551485, 'num_compressor': -999, 'source': 0, 'start_year': 0};{'diameter_mm': 'Mean', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': 'raw', 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'Lasso', 'max_pressure_bar': 'Lasso', 'num_compressor': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
29;BBL;['IN_29'];['N_524', 'N_225'];[52.8506, 52.756746];[1.466, 5.050348];['GB', 'NL'];None;{'diameter_mm': 914.0, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': 1.0, 'lat_mean': 52.803673, 'length': 241.2259901173813, 'license': 'Wikipedia', 'long_mean': 3.258174, 'max_cap_M_m3_per_d': 43.83, 'max_pressure_bar': 135.0, 'num_compressor': 1.0, 'source': 'https://en.wikipedia.org/wiki/BBL_Pipeline', 'start_year': 2006.0};{'diameter_mm': 0, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 0, 'length': 0, 'license': 0, 'long_mean': 0, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'num_compressor': 0, 'source': 0, 'start_year': 0};{'diameter_mm': 'raw', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': 'raw', 'lat_mean': 'raw', 'length': 'raw', 'license': 'raw', 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'raw', 'max_pressure_bar': 'raw', 'num_compressor': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
31;Benevento_Biccari;['IN_31'];['N_541', 'N_542'];[41.396964, 41.128905];[15.195382, 14.781876];['IT', 'IT'];None;{'diameter_mm': 609.0, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 41.2629345, 'length': 45.65430524382574, 'license': 'Snam', 'long_mean': 14.988629, 'max_cap_M_m3_per_d': 19.16945855492871, 'max_pressure_bar': 64.0, 'num_compressor': None, 'source': 'http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html', 'start_year': 1983};{'diameter_mm': 0, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': 0, 'long_mean': 0, 'max_cap_M_m3_per_d': 0.609319909, 'max_pressure_bar': 0, 'num_compressor': -999, 'source': 0, 'start_year': 0};{'diameter_mm': 'raw', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': 'raw', 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'Lasso', 'max_pressure_bar': 'raw', 'num_compressor': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
33;Bernalda_Grumento;['IN_33'];['N_543', 'N_544'];[40.316324, 40.412126];[15.90466, 16.688712];['IT', 'IT'];None;{'diameter_mm': 1066.8, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 40.364225000000005, 'length': 67.29777547648362, 'license': 'Snam', 'long_mean': 16.296686, 'max_cap_M_m3_per_d': 52.86770288953103, 'max_pressure_bar': 75.0, 'num_compressor': None, 'source': 'http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html', 'start_year': 1983};{'diameter_mm': 0, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': 0, 'long_mean': 0, 'max_cap_M_m3_per_d': 0.609319909, 'max_pressure_bar': 0, 'num_compressor': -999, 'source': 0, 'start_year': 0};{'diameter_mm': 'raw', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': 'raw', 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'Lasso', 'max_pressure_bar': 'raw', 'num_compressor': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
35;Berneau_Eynatten;['IN_35'];['N_27', 'N_262'];[50.753777, 50.7];[5.739351, 6.09];['BE', 'BE'];None;{'diameter_mm': 941.4199940872616, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 50.7268885, 'length': 25.40358987522274, 'license': 'Fluxys', 'long_mean': 5.9146754999999995, 'max_cap_M_m3_per_d': 43.63859394693308, 'max_pressure_bar': 74.7299067806903, 'num_compressor': None, 'source': 'https://www.fluxys.com/belgium/en/about%20fluxys/infrastructure/network/network', 'start_year': 1983};{'diameter_mm': -0.0029069770000000003, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': 0, 'long_mean': 0, 'max_cap_M_m3_per_d': 0.609319909, 'max_pressure_bar': 0.121551485, 'num_compressor': -999, 'source': 0, 'start_year': 0};{'diameter_mm': 'Mean', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': 'raw', 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'Lasso', 'max_pressure_bar': 'Lasso', 'num_compressor': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
37;Beziers_Lacq;['IN_37'];['N_545', 'N_546'];[43.34632, 43.421];[3.231472, -0.614];['FR', 'FR'];None;{'diameter_mm': 941.4199940872616, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 43.38366, 'length': 310.94582062466384, 'license': None, 'long_mean': 1.3087360000000001, 'max_cap_M_m3_per_d': 43.63859394693308, 'max_pressure_bar': 74.7299067806903, 'num_compressor': None, 'source': 'Extra', 'start_year': 1983};{'diameter_mm': -0.0029069770000000003, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': -999, 'long_mean': 0, 'max_cap_M_m3_per_d': 0.609319909, 'max_pressure_bar': 0.121551485, 'num_compressor': -999, 'source': 0, 'start_year': 0};{'diameter_mm': 'Mean', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': None, 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'Lasso', 'max_pressure_bar': 'Lasso', 'num_compressor': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
39;BGTP;['IN_39'];['N_547', 'N_17'];[54.589, 54.84019];[-5.911, -5.788932];['GB', 'GB'];None;{'diameter_mm': 600.0, 'end_year': 2050, 'is_H_gas': 1.0, 'is_bothDirection': None, 'lat_mean': 54.714595, 'length': 29.0197714347825, 'license': None, 'long_mean': -5.849966, 'max_cap_M_m3_per_d': 18.506976687275973, 'max_pressure_bar': 75.0, 'num_compressor': None, 'source': 'Belfast Gas Transmission Pipeline', 'start_year': 1983};{'diameter_mm': 0, 'end_year': 0, 'is_H_gas': 0, 'is_bothDirection': -999, 'lat_mean': 0, 'length': 0, 'license': -999, 'long_mean': 0, 'max_cap_M_m3_per_d': 0.609319909, 'max_pressure_bar': 0, 'num_compressor': -999, 'source': 0, 'start_year': 0};{'diameter_mm': 'raw', 'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'raw', 'length': 'raw', 'license': None, 'long_mean': 'raw', 'max_cap_M_m3_per_d': 'Lasso', 'max_pressure_bar': 'raw', 'num_compressor': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
