id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;max_workingGas_M_m3;max_workingGas_TWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_GWh_per_d;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[M Nm^3];[TWh];[M m^3/d];[GWh/d];[GWh/d];[]
LB4_3;Lÿb complex;LB4_Nafta;2021;;http://www.nafta.sk/en/about-gas-storage;;Leeres Gas Feld;;1;Nafta;;5.8328;;106.1;84.8;nTPA
Lesum_1;Lesum_Storengy;Lesum_Storengy;2000;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Salz Kaverne;;1;storengy Deutschland;73;1.507;3.84;52;24.8;nTPA
Lesum_2;Lesum_Wesernetz;Lesum_Wesernetz;2000;;https://www.wesernetz.de/netznutzung/bremen/gasnetz-speicheranlagen.php;;Salz Kaverne;;1;wesernetz Bremen;156;0.8625;5.28;0;0;nTPA
LilleTorup;Lille Torup;LilleTorup;1987;;http://gaslager.energinet.dk/EN/Pages/default.aspx;;Salz Kaverne;;1;Gas Storage Denmark;;;;;;nTPA
Lobodice;Lobodice;Lobodice;1965;;https://www.innogy-gasstorage.cz/en/index/;;Aquifer;;1;innogy Gas Storage;;;;;;nTPA
Loenhout;Loenhout;Loenhout;1985;;http://www.fluxys.com/belgium/en/Services/Storage/Storage;;Aquifer;;1;Fluxys;700;8.183;;169.5;88.1;rTPA
Lussagnet;Lussagnet;Lussagnet;1957;;http://www.tigf.fr/en/what-we-can-offer/storage.html;;Aquifer;;1;TIGF;;;;;;nTPA
Manosque;Manosque;Manosque;1993;;https://www.storengy.com/countries/france/en/nos-sites/manosque.html;;;1;1;Storengy;;5.534;;;;
Marismas;Marismas;Marismas;2012;;http://www.gasnaturalfenosa.com/en/activities/lines+of+business/1285338591925/supply+and+transportation+of+gas.html;;Leeres Feld;;1;Gas Natural Fenosa;;1.615;;4.2;4.2;rTPA
Minerbio_1;Minerbio;Minerbio;1975;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Minerbio_2;Minerbio;Minerbio;2020;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;4.5805;;0;21.8;rTPA
MoeckowH;Moeckow H;MoeckowH;2020;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;1;1;EWE Gasspeicher;;0;;0;0;nTPA
Mogilno_1;Mogilno;Mogilno;1997;;https://www.osm.pgnig.pl/en;;Salz Kaverne;;1;Operator Systemu Magazynowania Sp. z o.o.;;6.6244;;200.5;106.9;rTPA
Mogilno_2;Mogilno;Mogilno;2021;;https://www.osm.pgnig.pl/en;;Salz Kaverne;;1;Operator Systemu Magazynowania Sp. z o.o.;;0.4049;;120.3;0;rTPA
Mogilno_3;Mogilno;Mogilno;2023;;https://www.osm.pgnig.pl/en;;Salz Kaverne;;1;Operator Systemu Magazynowania Sp. z o.o.;;1.3368;;0;0;rTPA
Moldova;Moldova;Moldova;2023;;http://www.romgaz.ro/en/content/ugs-n-366-new-gas-storage-facility-romania;;Leeres Feld;;1;Romgaz;;2.16;;21.6;21.6;rTPA
Mozyrskoye_1;Mozyrskoye;Mozyrskoye;2008;;http://belarus-tr.gazprom.ru/;;Salz Kaverne;;1;Gazprom Transgaz Belarus;;5.515;;220.6;0;
Mozyrskoye_2;Mozyrskoye;Mozyrskoye;2020;;http://belarus-tr.gazprom.ru/;;Salz Kaverne;;1;Gazprom Transgaz Belarus;;5.515;;0;0;
Nevskoye;Nevskoye;Nevskoye;1975;;http://www.gazprom.com/about/production/underground-storage/;;Aquifer;;1;Gazprom;;18.751;;253.7;228.3;
NorgLangelo_1;"Norg, Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";NorgLangelo;1997;;http://www.nam.nl/en/about-nam/facts-and-figures.html;;Leeres Gas Feld;;1;NAM;;69.8056;;758.9;448.8;No TPA
NorgLangelo_2;NorgLangelo;NorgLangelo;;;;;;;;;;;;;;
Nuettermoor_H;Nuetttermoor H-1, Storage Capacity connected to the Netherlands (GTS), E.ON share of 109,3 mcm solely used in NL;Nuettermoor_H;1979;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;1;1;EWE Gasspeicher;1314;1.832;35.52;69.6;48.7;nTPA
Nuettermoor_L;Nuettermoor L;Nuettermoor_L;1979;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;0;1;EWE Gasspeicher;;0;;0;0;nTPA
NussdorfZagling;Nussdorf, Storage Capacity connected to Germany and Austria;NussdorfZagling;2014;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;1;RAG.Energy.Storage;;3.257;;40.7;32.6;nTPA
Okoli;Okoli;Okoli;1988;;http://www.psp.hr/home;;Leeres Gas Feld;;1;PSP;558;5.53;;54.5;34.3;rTPA
Osipovichskoye;Osipovichskoye;Osipovichskoye;1976;;http://belarus-tr.gazprom.ru/;;Aquifer;;1;Gazprom Transgaz Belarus;;3.309;;44.1;0;
PalazzoMoroni;PalazzoMoroni;PalazzoMoroni;2017;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;1;Edison Stoccaggio;;0.7401;;9.5;9.5;rTPA
Peckensen_1;Peckensen;Peckensen;2002;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Salz Kaverne;;1;storengy Deutschland;400;4.394;22.08;232;84.7;nTPA
Peckensen_2;Peckensen;Peckensen;2020;;;;;;;storengy Deutschland;480;;;;;
Pinasses;Pinasses;Pinasses;2022;;http://www.gasnaturalfenosa.com/en/activities/lines+of+business/1285338591925/supply+and+transportation+of+gas.html;;Salz Kaverne;;1;Gas Natural Fenosa;;2.7912;;162.8;104.7;rTPA
Poggiofiorito;Poggiofiorito;Poggiofiorito;2999;;http://ir.gasplus.it/home/show.php?menu=00002;;Leeres Feld;;1;Gas Plus Storage;;1.826;;18.7;18.7;rTPA
Preesall;Preesall;Preesall;2999;;http://www.halite-energy.co.uk/our-project/project-overview/;;Salz Kaverne;;1;Halite Energy Group;;0.2805;;330;330;nTPA
Pribugskoye;Pribugskoye;Pribugskoye;2000;;http://belarus-tr.gazprom.ru/;;Leeres Gas Feld;;1;Gazprom Transgaz Belarus;;6.618;;52.9;0;
Puchkirchen;Puchkirchen, GCV 11,31;Puchkirchen;1982;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;1;RAG.Energy.Storage;;12.215;;141.1;141.1;nTPA
Pusztaederics;Pusztaederics;Pusztaederics;1979;;http://www.magyarfoldgaztarolo.hu/en/Lapok/default.aspx;;Leeres Feld;;1;Hungarian Gas Storage;;3.6082;;30.8;26.5;rTPA
Reckrod;Reckrod;Reckrod;2001;;http://www.gas-union-storage.de/;;Salz Kaverne;;1;Gas Union Storage;110;1.3741;2.4;55.2;27.6;nTPA
Rehden;Rehden;Rehden;1993;;https://www.astora.de/storage-locations/rehden-storage-facility.html?L=1;;Leeres Gas Feld;;1;astora;4400;48.62;57.6;530.4;344.8;nTPA
Ripalta_1;Ripalta;Ripalta;1967;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Ripalta_2;Ripalta;Ripalta;2020;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;3.9262;;0;0;rTPA
Ripalta_3;Ripalta;Ripalta;2026;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;0;;98.2;0;rTPA
Ron;Ronÿ;Ron;2018;;http://www.ceskaplynarenska.cz/en/ultimate-speed-underground-gas-storage;;Stein Kaverne;;1;GSCeP;;1.8138;;238.7;190.9;nTPA
Rough;Rough, Capacity offered under negotiated processes with rules that must be applied;Rough;1985;2017;http://www.centrica-sl.co.uk/;;Leeres Gas Feld;;0;Centrica Storage;;36.5;;485;305;nTPA
RuedersdorfH;Ruedersdorf H;RuedersdorfH;2007;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;1;1;EWE Gasspeicher;135;1.3098;3.36;32.8;10.7;nTPA
Sabbioncello_1;Sabbioncello;Sabbioncello;1985;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Sabbioncello_2;Sabbioncello;Sabbioncello;2023;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;1.745;;0;0;rTPA
SaintClairSurEpte;SaintClairSurEpte;SaintClairSurEpte;1982;;http://www.storengy.com/countries/france/en/;;Aquifer;;1;Storengy;;;;;;nTPA
SaintIlliersLaVille;SaintIlliersLaVille;SaintIlliersLaVille;1965;;http://www.storengy.com/countries/france/en/;;Aquifer;;1;Storengy;;;;;;nTPA
SalineEtrez;SalineEtrez;SalineEtrez;1980;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;1;Storengy;;;;;;nTPA
SalineManosque;SalineManosque;SalineManosque;1993;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;1;Storengy;;;;;;nTPA
SalineTersanne;SalineTersanne;SalineTersanne;1970;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;1;Storengy;;;;;;nTPA
Saltfleetby;Saltfleetby;Saltfleetby;2999;;https://www.wingas.com/storage-uk-ltd/home.html;;Leeres Feld;;1;Wingas;;8.525;;93.5;82.5;nTPA
SanBenedetto;San Benedetto;SanBenedetto;2999;;http://ir.gasplus.it/home/show.php?menu=00002;;Leeres Feld;;1;Gas Plus Storage;;5.742;;65.3;65.3;rTPA
Sandhausen;Sandhausen;Sandhausen;1991;;http://www.terranets-bw.de/en/gas-transmission/we-transport-your-natural-gas/;;Aquifer;;1;terranets bw;30;0.345;1.08;12.4;5.5;No TPA
SanPotitoECotignola; SanPotitoECotignola, Plant in build-up phase;SanPotitoECotignola;2013;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;1;Edison Stoccaggio;;2.5692;;79.3;67.7;rTPA
Sarmasel_1;Sarmasel;Sarmasel;1995;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;8.3864;;62.9;80.6;rTPA
Sarmasel_2;Sarmasel;Sarmasel;2016;;http://www.romgaz.ro/en/content/ugs-n-371-sarmasel-storage-facility-upgrading;;Leeres Gas Feld;;1;Romgaz;;1.0483;;31.4;0;rTPA
Sarmasel_3;Sarmasel;Sarmasel;2024;;http://www.romgaz.ro/en/content/ugs-n-371-sarmasel-storage-facility-upgrading;;Leeres Gas Feld;;1;Romgaz;;6.814;;10.5;24.2;rTPA
Schmidthausen;Schmidthausen;Schmidthausen;1983;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Leeres Gas Feld;;1;Storengy Deutschland;150;1.669;3.6;40;10.7;nTPA
SchoenkirchenReyersdorf;Schoenkirchen;SchoenkirchenReyersdorf;1977;;http://www.omv.com/portal/01/com/gas/storage;;Leeres Gas Feld;;1;OMV Gas Storage;;20.7425;;261.3;176.4;nTPA
Sergnano_1;Sergnano;Sergnano;1965;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Sergnano_2;Sergnano;Sergnano;2020;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;3.8171;;0;0;rTPA
Serrablo;Serrablo;Serrablo;1991;;http://www.enagas.es/enagas/en/Transporte_de_gas/Almacenamientos_Subterraneos;;Leeres Feld;;1;Enagas;;9.73;;79.1;44.2;rTPA
Settala_1;Settala;Settala;1986;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Settala_2;Settala;Settala;2026;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;8.1795;;0;54.5;rTPA
Silivri_1;Silivri;Silivri_84;2007;;http://www.tpao.gov.tr/eng/?tp=m&id=84;;Leeres Gas Feld;;0;TPAO;;27.745;;208.5;166.8;rTPA
Silivri_2;Silivri;Silivri_84;2017;;http://www.tpao.gov.tr/eng/?tp=m&id=84;;Leeres Gas Feld;;0;TPAO;;0.8341;;52.1;26.1;rTPA
Silivri_3;Silivri;Silivri_31;2999;;http://www.tpao.gov.tr/eng/?tp=m&id=31;;Leeres Gas Feld;;0;TPAO;;16.1507;;521.3;224.2;rTPA
Sinarca;Sinarca;Sinarca;2999;;http://ir.gasplus.it/home/show.php?menu=00002;;Leeres Feld;;1;Gas Plus Storage;;3.564;;35.2;35.2;rTPA
Skallen;Skallen;Skallen;2004;;https://www.swedegas.com/Our_services/services/Storage;;Rock Cavern;;1;Swedegas;9;0.105;;11.5;4.3;nTPA
SoingsEnSologne;SoingsEnSologne;SoingsEnSologne;1981;;http://www.storengy.com/countries/france/en/;;Aquifer;;1;Storengy;;;;;;nTPA
SouthKavala;SouthKavala;SouthKavala;2022;;http://www.hradf.com/en/portfolio/south-kavala-natural-gas-storage;;Leeres Gas Feld;;1;DESFA;;3.9708;;44.1;55.2;rTPA
Stassfurt;Stassfurt;Stassfurt;1996;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;;1;RWE;552;6.1721;13.2;148.1;83.5;nTPA
Stenlille;Stenlille;Stenlille;1994;;http://gaslager.energinet.dk/EN/Pages/default.aspx;;Aquifer;;1;Gas Storage Denmark;;;;;;nTPA
Stockstadt_1;Stockstadt;Stockstadt_GasField;1969;;http://mndgsgermany.com/;;Depleted gas field;;1;EON gas storage;45;1.526;1.08;36.6;24.4;nTPA
Stockstadt_2;Stockstadt;Stockstadt_Aquifer;;;;;Aquifer;;;EON gas storage;90;;2.16;;;
Strachocina;Strachocina;Strachocina;1982;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;4.05;;37.9;29.7;rTPA
Stramberk;Stramberk;Stramberk;1983;;https://www.innogy-gasstorage.cz/en/stramberk/;;Leeres Feld;;1;innogy;;;;;;
Stublach_1;Stublach;Stublach;2014;;http://www.storengy.com/countries/unitedkingdom/en/oursites.html;;Salz Kaverne;;1;Storengy UK;;2.618;;250.8;277.2;No TPA
Stublach_2;Stublach;Stublach;2019;;http://www.storengy.com/countries/unitedkingdom/en/oursites.html;;Salz Kaverne;;1;Storengy UK;;0.682;;0;0;nTPA
Stublach_3;Stublach;Stublach;2020;;http://www.storengy.com/countries/unitedkingdom/en/oursites.html;;Salz Kaverne;;1;Storengy UK;;1.1;;79.2;52.8;nTPA
Swarzow;Swarzow;Swarzow;1979;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;1.008;;11.2;11.2;rTPA
Syderiai;Syderiai;Syderiai;2022;;http://www.le.lt/index.php/projects-in-progress/syderiai-underground-gas-storage/535;;Aquifer;;1;Lietuvos energijos gamyba;;5.5;;88;33;nTPA
Szoreg;Szreg_1;Szoreg;2009;;http://mmbf.hu/en/company/gas_storage;;Leeres ?l Feld mit Gas Haube;;1;MMBF;;20.1129;;267.4;134.1;rTPA
Tallesbrunn;Tallesbrunn;Tallesbrunn;1974;;http://www.omv.com/portal/01/com/gas/storage;;Leeres Gas Feld;;1;OMV Gas Storage;;4.524;;43;33.9;nTPA
TarguMures_1;TarguMure;TarguMures;2002;;http://www.depomures.ro/;;Leeres Gas Feld;;1;Depomures;;3.1546;;15;15;rTPA
TarguMures_2;TarguMures;TarguMures;2018;;http://www.depomures.ro/;;Leeres Gas Feld;;1;Depomures;;1.1654;;22.8;22.8;rTPA
TarguMures_3;TarguMures;TarguMures;2020;;http://www.depomures.ro/;;Leeres Gas Feld;;1;Depomures;;2.16;;16.2;16.2;rTPA
Tarsus;Tarsus;Tarsus;2999;;http://www.bendisenergy.com.tr/tr/Projelerimiz/24-toren-dogalgaz-depolama-ve-madencilik-as;;Salz Kaverne;;1;Toren Natural Gas Storage and Mining Inc.;;4.95;;264;0;rTPA
Tersanne;Tersanne;Tersanne;1982;;https://www.storengy.com/countries/france/en/our-sites/saint-clair-sur-epte.html;;;1;1;Storengy;;;;;;
Thann;Thann;Thann;1977;2017;http://www.omv.com/portal/01/com/gas/storage;;Leeres Gas Feld;;1;OMV Gas Storage;;2.8275;;35.1;31.2;nTPA
Tranovice;Tranovice;Tranovice;2000;;https://www.innogy-gasstorage.cz/en/index/;;Leeres Gas Feld;;1;innogy Gas Storage;;;;;;nTPA
TroisFontainesAbbaye;TroisFontainesAbbaye;TroisFontainesAbbaye;1970;;http://www.storengy.com/countries/france/en/;;Depleted Field;;1;Storengy;;;;;;nTPA
TuzGlu_1;TuzGlu;TuzGlu;2017;;http://www.botas.gov.tr/;;Salz Kaverne;;1;Botas;;5.5;;220;165;rTPA
TuzGlu_2;TuzGlu;TuzGlu;2019;;http://www.botas.gov.tr/;;Salz Kaverne;;1;Botas;;5.5;;440;330;rTPA
TuzGlu_3;TuzGlu;TuzGlu;2999;;http://www.botas.gov.tr/;;Salz Kaverne;;1;Botas;;5.5;;0;0;rTPA
Tvrdonice;Tvrdonice;Tvrdonice;1975;;https://www.innogy-gasstorage.cz/en/index/;;Leeres Gas Feld;;1;innogy Gas Storage;;;;;;nTPA
Uelsen;Uelsen;Uelsen;1997;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Leeres Gas Feld;;1;storengy Deutschland;840;9.492;9.48;107.6;81;nTPA
Uhrice_1;Uhrice;Uhrice;2001;;http://www.gasstorage.cz/en/operation-information/available-firm-capacity/;;Leeres ?l/Gas Feld;;1;MND Gas Storage;;2.7047;;110.3;57.3;nTPA
Uhrice_2;Uhrice;Uhrice;2017;;http://www.gasstorage.cz/en/operation-information/available-firm-capacity/;;Leeres ?l/Gas Feld;;1;MND Gas Storage;;0.2652;;17;0;nTPA
Urziceni;Urziceni;Urziceni;1979;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;3.9092;;47.7;38.9;rTPA
VelkeKapusany;Velke Kapusany;VelkeKapusany;2021;;http://www.nafta.sk/en/about-gas-storage;;Leeres Gas Feld;;1;Nafta;;3.6057;;39.8;39.8;nTPA
Wierzchowice_1;Wierzchowice;Wierzchowice;1995;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;13.2;;105.6;66;rTPA
Wierzchowice_2;Wierzchowice;Wierzchowice;2020;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;0;;52.8;39.6;rTPA
Wolfersberg;Wolfersberg;Wolfersberg;1973;;http://www.bayernugs.de/4-1-Home.html;;Leeres Gas Feld;;1;BayernUGS;365;4.1209;5.76;65;37.9;nTPA
Xanten;Xanten;Xanten;1985;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;;1;innogy;185;2.0075;6.72;86.4;27;nTPA
Yela;Yela;Yela;2012;;http://www.enagas.es/enagas/en/Transporte_de_gas/Almacenamientos_Subterraneos;;Aquifer;;1;Enagas;;1.543;;40.7;23.3;rTPA
Zsana;Zsana;Zsana;1996;;http://www.magyarfoldgaztarolo.hu/en/Lapok/default.aspx;;Leeres Feld;;1;Hungarian Gas Storage;;23.0287;;297.1;180.4;rTPA
