id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;Compressor;num_storage_wells;structure_depth_m;max_workingGas_M_m3;max_workingGas_TWh;max_workingGas_kWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_m3_per_d;max_cap_pipe2store_GWh_per_d;max_cap_pipe2store_kWh_per_h;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[MW];[];[m];[M Nm^3];[TWh];[kWh];[M m^3/d];[GWh/d];[kWh/h];[M^3/d];[GWh/d];[kWh/h];[]
Carrico_2;Carrico;Carrico;2017;;https://www.ign.ren.pt/en/armazenamento-subterraneo4;;Salz Kaverne;;;;;;;;;;;;;;;;
Carrico_3;Carrico;Carrico;2022;;https://www.ign.ren.pt/en/armazenamento-subterraneo4;;Salz Kaverne;;;;;;;;;;;;;;;;
Caythorpe;Caythorpe;Caythorpe;2999;;http://www.caythorpegasstorage.com/caythorpe/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Cellino;Cellino;Cellino;1984;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;;;2.8;5;850;120;;;;;;;;;
CereLaRonde;CereLaRonde;CereLaRonde;1993;;https://www.storengy.com/countries/france/en/nos-sites/cere-la-ronde.html;;Aquifer;1;;;;13;910;1200;;;;;;;;;
Cerville;Cerville;Cerville;1970;;http://www.storengy.com/countries/france/en/;;Aquifer;1;;;;38;450;1500;;;;;;;;;
CetateaDeBalta;Cetatea de Balta;CetateaDeBalta;;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Chemery;Chemery;Chemery;1968;;http://www.storengy.com/countries/france/en/;;Aquifer;1;;;;67;1085;7000;;;;;;;;;
Chiren_1;Chiren;Chiren;1974;;http://www.bulgartransgaz.bg/en/pages/transstorge-110.html;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Chiren_2;Chiren;Chiren;2021;;http://www.bulgartransgaz.bg/en/pages/transstorge-110.html;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Collalto;Collalto;Collalto;1994;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;;;17;17;1500;600;;;;;;;;;
Cornegliano;Cornegliano;Cornegliano;2017;;http://italgasstorage.it/eng/progetto.html;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Cortemaggiore;Cortemaggiore;Cortemaggiore;1964;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;43.8;27;1500;;;;24;;;;;;
CugnoLeMacine;CugnoLeMacine;CugnoLeMacine;2999;;http://www.geogastock.it/ITA/Home.asp;;Leeres Feld;;;;;;;;;;;;;;;;
Damaslawek;Damaslawek;Damaslawek;2026;;http://en.gaz-system.pl//;;Salz Kaverne;;;;;;;;;;;;;;;;
Damboice;Damboice;Damboice;2016;;http://www.mnd.eu/en/2014-11-26-12-13-02/mnd-group-companies;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Daszewo_1;Daszewo;Daszewo;2009;;http://www.pgnig.pl/reports/annualreport2012/en/ar-obrot-magazynowanie-2.html;;Leeres ?l Feld;;;;;;;;;;;;;;;;
Daszewo_2;Daszewo;Daszewo;2999;;http://www.pgnig.pl/reports/annualreport2012/en/ar-obrot-magazynowanie-2.html;;Leeres ?l Feld;;;;;;;;;;;;;;;;
Deborah;Deborah;Deborah;2999;;;;Leeres Feld;;;;;;;;;;;;;;;;
DolniBojanovice_1;Dolni Dunajovice;DolniBojanovice;1989;;https://www.innogy-gasstorage.cz/en/index/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
DolniBojanovice_2;Dolni Bojanovice;DolniBojanovice;1999;;http://www.sppstorage.cz/#;;Leeres ?l/Gas Feld;;;;;;;;;;;;;;;;
Elsfleth_EWE;;Elsfleth_EWE;;;;;;;;;;;;;;;;;;;;;
Empelde_1;Empelde;Empelde;1982;;http://www.gasspeicher-hannover.de/startseite.html;;Salz Kaverne;;;;;;;;;;;;;;;;
Empelde_2;Empelde;Empelde;2020;;;;;;;;;;;;;;;;;;;;
EnergyStock;EnergyStock;EnergyStock;2011;;http://www.energystock.com/;;Salt cavern;;;;;;;;;;;;;;;;
EpeH_1;Epe Uniper H-Gas;Epe_Uniper_H;1976;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;;;;;;;;;;;;;;;
EpeH_10;Epe-ZES;Epe_ZES;2020;;;;;;;;;;;;;;;;;;;;
EpeH_2;Epe innogy H-Gas;Epe_innogy_H;1990;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;;;;;;;;;;;;;;;;
EpeH_3;Epe innogy NL;Epe_innogy_NL;2006;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;;;;;;;;;;;;;;;;
EpeH_4;Epe Nuon;Epe_Nuon;2007;;http://corporate.vattenfall.com/about-vattenfall/operations/market-transparency/gas-storage/;;Salz Kaverne;;;;;;;;;;;;;;;;
EpeH_5;Epe Trianel;Epe_Trianel;2008;;http://www.trianel-gasspeicher.com/;;Salz Kaverne;;;;;;;;;;;;;;;;
EpeH_6;Epe Eneco;Epe_Eneco;2012;;https://www.eneco.nl/over-ons/projecten/gasspeicher/voorraadniveau;;Salz Kaverne;;;;;;;;;;;;;;;;
EpeH_7;Epe KGE;Epe_KGE;2012;;http://www.kge-gasspeichergesellschaft.de/;;Salz Kaverne;;;;;;;;;;;;;;;;
EpeH_8;Epe-E.ON;Epe_EON;2020;;;;;;;;;;;;;;;;;;;;
