id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;Compressor;num_storage_wells;structure_depth_m;max_workingGas_M_m3;max_workingGas_TWh;max_workingGas_kWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_m3_per_d;max_cap_pipe2store_GWh_per_d;max_cap_pipe2store_kWh_per_h;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[MW];[];[m];[M Nm^3];[TWh];[kWh];[M m^3/d];[GWh/d];[kWh/h];[M^3/d];[GWh/d];[kWh/h];[]
Minerbio_2;Minerbio;Minerbio;2020;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
MoeckowH;Moeckow H;MoeckowH;2020;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;;;;;;;;;;;;;;;;
Mogilno_1;Mogilno;Mogilno;1997;;https://www.osm.pgnig.pl/en;;Salz Kaverne;;;;;;;;;;;;;;;;
Mogilno_2;Mogilno;Mogilno;2021;;https://www.osm.pgnig.pl/en;;Salz Kaverne;;;;;;;;;;;;;;;;
Mogilno_3;Mogilno;Mogilno;2023;;https://www.osm.pgnig.pl/en;;Salz Kaverne;;;;;;;;;;;;;;;;
Moldova;Moldova;Moldova;2023;;http://www.romgaz.ro/en/content/ugs-n-366-new-gas-storage-facility-romania;;Leeres Feld;;;;;;;;;;;;;;;;
Mozyrskoye_1;Mozyrskoye;Mozyrskoye;2008;;http://belarus-tr.gazprom.ru/;;Salz Kaverne;;;;;;;;;;;;;;;;
Mozyrskoye_2;Mozyrskoye;Mozyrskoye;2020;;http://belarus-tr.gazprom.ru/;;Salz Kaverne;;;;;;;;;;;;;;;;
Nevskoye;Nevskoye;Nevskoye;1975;;http://www.gazprom.com/about/production/underground-storage/;;Aquifer;;;;;;;;;;;;;;;;
NorgLangelo_1;"Norg, Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";NorgLangelo;1997;;http://www.nam.nl/en/about-nam/facts-and-figures.html;;Leeres Gas Feld;;;;;;;;;;;;;;;;
NorgLangelo_2;NorgLangelo;NorgLangelo;;;;;;;;;;;;;;;;;;;;;
Nuettermoor_H;Nuetttermoor H-1, Storage Capacity connected to the Netherlands (GTS), E.ON share of 109,3 mcm solely used in NL;Nuettermoor_H;1979;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;;;;;;;;;;;;;;;;
Nuettermoor_L;Nuettermoor L;Nuettermoor_L;1979;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;;;;;;;;;;;;;;;;
NussdorfZagling;Nussdorf, Storage Capacity connected to Germany and Austria;NussdorfZagling;2014;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;;;;;;;3.254;;;;1697000;;;1360000;
Okoli;Okoli;Okoli;1988;;http://www.psp.hr/home;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Osipovichskoye;Osipovichskoye;Osipovichskoye;1976;;http://belarus-tr.gazprom.ru/;;Aquifer;;;;;;;;;;;;;;;;
PalazzoMoroni;PalazzoMoroni;PalazzoMoroni;2017;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Peckensen_1;Peckensen;Peckensen;2002;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Salz Kaverne;;;;;;;;;3860120000;;;9664916;;;3528000;
Peckensen_2;Peckensen;Peckensen;2020;;;;;;;;;;;;;;;;;;;;
Pinasses;Pinasses;Pinasses;2022;;http://www.gasnaturalfenosa.com/en/activities/lines+of+business/1285338591925/supply+and+transportation+of+gas.html;;Salz Kaverne;;;;;;;;;;;;;;;;
Poggiofiorito;Poggiofiorito;Poggiofiorito;2999;;http://ir.gasplus.it/home/show.php?menu=00002;;Leeres Feld;;;;;;;;;;;;;;;;
Preesall;Preesall;Preesall;2999;;http://www.halite-energy.co.uk/our-project/project-overview/;;Salz Kaverne;;;;;;;;;;;;;;;;
Pribugskoye;Pribugskoye;Pribugskoye;2000;;http://belarus-tr.gazprom.ru/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Puchkirchen;Puchkirchen, GCV 11,31;Puchkirchen;1982;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;;;;;;;12.204;;;;5881000;;;5881000;
Pusztaederics;Pusztaederics;Pusztaederics;1979;;http://www.magyarfoldgaztarolo.hu/en/Lapok/default.aspx;;Leeres Feld;;;;;;;;;;;;;;;;
Reckrod;Reckrod;Reckrod;2001;;http://www.gas-union-storage.de/;;Salz Kaverne;;;;;;;;;;;;;;;;
Rehden;Rehden;Rehden;1993;;https://www.astora.de/storage-locations/rehden-storage-facility.html?L=1;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Ripalta_1;Ripalta;Ripalta;1967;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;46.66;35;1400;;;;24;;;;;;
Ripalta_2;Ripalta;Ripalta;2020;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
Ripalta_3;Ripalta;Ripalta;2026;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
Ron;Ronÿ;Ron;2018;;http://www.ceskaplynarenska.cz/en/ultimate-speed-underground-gas-storage;;Stein Kaverne;;;;;;;;;;;;;;;;
Rough;Rough, Capacity offered under negotiated processes with rules that must be applied;Rough;1985;2017;http://www.centrica-sl.co.uk/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
RuedersdorfH;Ruedersdorf H;RuedersdorfH;2007;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;;;;;;;;;;;;;;;;
Sabbioncello_1;Sabbioncello;Sabbioncello;1985;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;22.8;31;1100;;;;22.5;;;;;;
Sabbioncello_2;Sabbioncello;Sabbioncello;2023;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
SaintClairSurEpte;SaintClairSurEpte;SaintClairSurEpte;1982;;http://www.storengy.com/countries/france/en/;;Aquifer;1;;;;20;723;1700;;;;;;;;;
SaintIlliersLaVille;SaintIlliersLaVille;SaintIlliersLaVille;1965;;http://www.storengy.com/countries/france/en/;;Aquifer;1;;;;31;470;1500;;;;;;;;;
SalineEtrez;SalineEtrez;SalineEtrez;1980;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;;;;;;;;;;;;;;;
SalineManosque;SalineManosque;SalineManosque;1993;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;;;;;;;;;;;;;;;
SalineTersanne;SalineTersanne;SalineTersanne;1970;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;;;;;;;;;;;;;;;
Saltfleetby;Saltfleetby;Saltfleetby;2999;;https://www.wingas.com/storage-uk-ltd/home.html;;Leeres Feld;;;;;;;;;;;;;;;;
SanBenedetto;San Benedetto;SanBenedetto;2999;;http://ir.gasplus.it/home/show.php?menu=00002;;Leeres Feld;;;;;;;;;;;;;;;;
Sandhausen;Sandhausen;Sandhausen;1991;;http://www.terranets-bw.de/en/gas-transmission/we-transport-your-natural-gas/;;Aquifer;;;;;;;;;;;;;;;;
SanPotitoECotignola; SanPotitoECotignola, Plant in build-up phase;SanPotitoECotignola;2013;;http://www.edisonstoccaggio.it/en;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Sarmasel_1;Sarmasel;Sarmasel;1995;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Sarmasel_2;Sarmasel;Sarmasel;2016;;http://www.romgaz.ro/en/content/ugs-n-371-sarmasel-storage-facility-upgrading;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Sarmasel_3;Sarmasel;Sarmasel;2024;;http://www.romgaz.ro/en/content/ugs-n-371-sarmasel-storage-facility-upgrading;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Schmidthausen;Schmidthausen;Schmidthausen;1983;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Leeres Gas Feld;;;;;;;;;1738814000;;;1680000;;;448000;
SchoenkirchenReyersdorf;Schoenkirchen;SchoenkirchenReyersdorf;1977;;http://www.omv.com/portal/01/com/gas/storage;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Sergnano_1;Sergnano;Sergnano;1965;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;47;35;1300;;;;58.5;;;;;;
Sergnano_2;Sergnano;Sergnano;2020;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
Serrablo;Serrablo;Serrablo;1991;;http://www.enagas.es/enagas/en/Transporte_de_gas/Almacenamientos_Subterraneos;;Leeres Feld;;;;;;;;;;;;;;;;
Settala_1;Settala;Settala;1986;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;22.8;27;1150;;;;43.2;;;;;;
Settala_2;Settala;Settala;2026;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
Silivri_1;Silivri;Silivri_84;2007;;http://www.tpao.gov.tr/eng/?tp=m&id=84;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Silivri_2;Silivri;Silivri_84;2017;;http://www.tpao.gov.tr/eng/?tp=m&id=84;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Silivri_3;Silivri;Silivri_31;2999;;http://www.tpao.gov.tr/eng/?tp=m&id=31;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Sinarca;Sinarca;Sinarca;2999;;http://ir.gasplus.it/home/show.php?menu=00002;;Leeres Feld;;;;;;;;;;;;;;;;
Skallen;Skallen;Skallen;2004;;https://www.swedegas.com/Our_services/services/Storage;;Rock Cavern;;;;;;;;;;;;;;;;
SoingsEnSologne;SoingsEnSologne;SoingsEnSologne;1981;;http://www.storengy.com/countries/france/en/;;Aquifer;;;;;;;;;;;;;;;;
SouthKavala;SouthKavala;SouthKavala;2022;;http://www.hradf.com/en/portfolio/south-kavala-natural-gas-storage;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Stassfurt;Stassfurt;Stassfurt;1996;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;;;;;;;;;;;;;;;;
Stenlille;Stenlille;Stenlille;1994;;http://gaslager.energinet.dk/EN/Pages/default.aspx;;Aquifer;;;;;;;;;;;;;;;;
Stockstadt_1;Stockstadt;Stockstadt_GasField;1969;;http://mndgsgermany.com/;;Depleted gas field;;;;;;;;;;;;;;;;
Stockstadt_2;Stockstadt;Stockstadt_Aquifer;;;;;Aquifer;;;;;;;;;;;;;;;;
Strachocina;Strachocina;Strachocina;1982;;https://www.osm.pgnig.pl/en;;Leeres Feld;;;;;;;;;;;;;;;;
Stramberk;Stramberk;Stramberk;1983;;https://www.innogy-gasstorage.cz/en/stramberk/;;Leeres Feld;;;;;;;;;;;;;;;;
Stublach_1;Stublach;Stublach;2014;;http://www.storengy.com/countries/unitedkingdom/en/oursites.html;;Salz Kaverne;;;;;;;;;;;;;;;;
Stublach_2;Stublach;Stublach;2019;;http://www.storengy.com/countries/unitedkingdom/en/oursites.html;;Salz Kaverne;;;;;;;;;;;;;;;;
Stublach_3;Stublach;Stublach;2020;;http://www.storengy.com/countries/unitedkingdom/en/oursites.html;;Salz Kaverne;;;;;;;;;;;;;;;;
Swarzow;Swarzow;Swarzow;1979;;https://www.osm.pgnig.pl/en;;Leeres Feld;;;;;;;;;;;;;;;;
Syderiai;Syderiai;Syderiai;2022;;http://www.le.lt/index.php/projects-in-progress/syderiai-underground-gas-storage/535;;Aquifer;;;;;;;;;;;;;;;;
Szoreg;Szreg_1;Szoreg;2009;;http://mmbf.hu/en/company/gas_storage;;Leeres ?l Feld mit Gas Haube;;;;;;;;;;;;;;;;
Tallesbrunn;Tallesbrunn;Tallesbrunn;1974;;http://www.omv.com/portal/01/com/gas/storage;;Leeres Gas Feld;;;;;;;;;;;;;;;;
TarguMures_1;TarguMure;TarguMures;2002;;http://www.depomures.ro/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
TarguMures_2;TarguMures;TarguMures;2018;;http://www.depomures.ro/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
TarguMures_3;TarguMures;TarguMures;2020;;http://www.depomures.ro/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Tarsus;Tarsus;Tarsus;2999;;http://www.bendisenergy.com.tr/tr/Projelerimiz/24-toren-dogalgaz-depolama-ve-madencilik-as;;Salz Kaverne;;;;;;;;;;;;;;;;
Tersanne;Tersanne;Tersanne;1982;;https://www.storengy.com/countries/france/en/our-sites/saint-clair-sur-epte.html;;;H;;;;13;1500;262;;;;;;;;;
Thann;Thann;Thann;1977;2017;http://www.omv.com/portal/01/com/gas/storage;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Tranovice;Tranovice;Tranovice;2000;;https://www.innogy-gasstorage.cz/en/index/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
TroisFontainesAbbaye;TroisFontainesAbbaye;TroisFontainesAbbaye;1970;;http://www.storengy.com/countries/france/en/;;Depleted Field;;;;;;;;;;;;;;;;
TuzGlu_1;TuzGlu;TuzGlu;2017;;http://www.botas.gov.tr/;;Salz Kaverne;;;;;;;;;;;;;;;;
TuzGlu_2;TuzGlu;TuzGlu;2019;;http://www.botas.gov.tr/;;Salz Kaverne;;;;;;;;;;;;;;;;
TuzGlu_3;TuzGlu;TuzGlu;2999;;http://www.botas.gov.tr/;;Salz Kaverne;;;;;;;;;;;;;;;;
Tvrdonice;Tvrdonice;Tvrdonice;1975;;https://www.innogy-gasstorage.cz/en/index/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Uelsen;Uelsen;Uelsen;1997;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Leeres Gas Feld;;;;;;;;;9775190000;;;41483250;;;3376047;
Uhrice_1;Uhrice;Uhrice;2001;;http://www.gasstorage.cz/en/operation-information/available-firm-capacity/;;Leeres ?l/Gas Feld;;;;;;;;;;;;;;;;
Uhrice_2;Uhrice;Uhrice;2017;;http://www.gasstorage.cz/en/operation-information/available-firm-capacity/;;Leeres ?l/Gas Feld;;;;;;;;;;;;;;;;
Urziceni;Urziceni;Urziceni;1979;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;;;;;;;;;;;;;;;
VelkeKapusany;Velke Kapusany;VelkeKapusany;2021;;http://www.nafta.sk/en/about-gas-storage;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Wierzchowice_1;Wierzchowice;Wierzchowice;1995;;https://www.osm.pgnig.pl/en;;Leeres Feld;;;;;;;;;;;;;;;;
Wierzchowice_2;Wierzchowice;Wierzchowice;2020;;https://www.osm.pgnig.pl/en;;Leeres Feld;;;;;;;;;;;;;;;;
Wolfersberg;Wolfersberg;Wolfersberg;1973;;http://www.bayernugs.de/4-1-Home.html;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Xanten;Xanten;Xanten;1985;;http://www.rwe.com/web/cms/en/531750/rwe-gasspeicher/;;Salz Kaverne;;;;;;;;;;;;;;;;
Yela;Yela;Yela;2012;;http://www.enagas.es/enagas/en/Transporte_de_gas/Almacenamientos_Subterraneos;;Aquifer;;;;;;;;;;;;;;;;
Zsana;Zsana;Zsana;1996;;http://www.magyarfoldgaztarolo.hu/en/Lapok/default.aspx;;Leeres Feld;;;;;;;;;;;;;;;;
