name;comment;element_type;country;lat;long;exact;start;stop;source;energy_elect_MW;energy_therm_MW;fuel_type_1;fuel_type_2; 
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[MW];[MW];[str];[str]; 
Vilnius TE-3 CHP Power Plant Lithuania;GEO_42166;{K};Litauen;54.6676;25.156;1;1984;;http://globalenergyobservatory.org/select.php;360;604;Natural Gas;Heavy Fuel Oil; 
Kaunas CHP Power Plant Lithuania;GEO_42165;{K};Litauen;54.9212;24.018;1;1975;;http://globalenergyobservatory.org/select.php;170;673;Natural Gas;Heavy Fuel Oil; 
Mazheikiai CHP Power Plant Lithuania;GEO_42167;{K};Litauen;56.38425;22.1841;1;1979;;http://globalenergyobservatory.org/select.php;160;;Natural Gas;Heavy Fuel Oil; 
Esch-sur-Alzette CCGT Power Plant Luxembourg;GEO_45217;{K};Luxembourg;49.5119;5.9646;1;2002;;http://globalenergyobservatory.org/select.php;385;;Natural Gas;; 
Mellach CCGT Power Plant Austria;GEO_45146;{K};Oesterreich;46.90859;15.49214;1;2012;;http://globalenergyobservatory.org/select.php;838;400;Natural Gas;; 
Duernrohr CHP Power Plant Austria;GEO_45151;{K};Oesterreich;48.3264;15.9246;1;1985;;http://globalenergyobservatory.org/select.php;757;;Coal;Natural Gas; 
Simmering CCGT Power Plant Austria;GEO_45176;{K};Oesterreich;48.1814;16.4339;1;2009;;http://globalenergyobservatory.org/select.php;700;450;Natural Gas;Fuel Oil; 
Donaustadt 1-3 Power Plant Austria;GEO_45178;{K};Oesterreich;48.19917;16.4633;1;1973;;http://globalenergyobservatory.org/select.php;529;250;Natural Gas;Fuel Oil; 
Korneuburg Thermal Power Plant Austria;GEO_45713;{K};Oesterreich;48.3317;16.33925;1;1959;;http://globalenergyobservatory.org/select.php;439;;Natural Gas;Heavy Fuel Oil; 
Timelkam CCGT CHP Power Plant Austria;GEO_45177;{K};Oesterreich;48.0122;13.5895;1;2008;;http://globalenergyobservatory.org/select.php;405;100;Natural Gas;; 
Leopoldau CHP Power Plant Austria;GEO_45181;{K};Oesterreich;48.2767;16.4339;1;1975;;http://globalenergyobservatory.org/select.php;155;;Natural Gas;Fuel Oil; 
Salzburg Mitte CHP Power Plant Austria;GEO_45179;{K};Oesterreich;47.8092;13.038;1;2001;;http://globalenergyobservatory.org/select.php;83.7;127;Natural Gas;Fuel Oil; 
Salzburg North CHP Power Plant Austria;GEO_45180;{K};Oesterreich;47.8274;13.0336;1;1993;;http://globalenergyobservatory.org/select.php;13.5;49.5;Natural Gas;Fuel Oil; 
Zielona Gora CCGT Power Plant Poland;GEO_42486;{K};Polen;51.9513;15.488;1;2004;;http://globalenergyobservatory.org/select.php;198;;Natural Gas;; 
Gorzow CHP Power Plant Poland;GEO_42499;{K};Polen;52.7496;15.2687;1;1999;;http://globalenergyobservatory.org/select.php;97.5;270;Natural Gas;Coal; 
Ribatejo CCGT Power Plant Portugal;GEO_43559;{K};Portugal;39.0116;-8.9519;1;2004;;http://globalenergyobservatory.org/select.php;1176;;Natural Gas;; 
Tapada de Outerio CCGT Power Plant Portugal;GEO_43561;{K};Portugal;41.0698;-8.4595;1;1998;;http://globalenergyobservatory.org/select.php;990;;Natural Gas;; 
Lares CCGT Power Plant Portugal;GEO_43562;{K};Portugal;40.1247;-8.7751;1;2009;;http://globalenergyobservatory.org/select.php;862;;Natural Gas;; 
ElecGas Pego CCGT Power Plant Portugal;GEO_43564;{K};Portugal;39.4688;-8.1115;1;2011;;http://globalenergyobservatory.org/select.php;830;;Natural Gas;; 
Tunes OCGT Power Plant Portugal;GEO_43563;{K};Portugal;37.1642;-8.2647;1;1973;;http://globalenergyobservatory.org/select.php;197;;Natural Gas;Fuel Oil; 
Sines Cogen OCGT Power Plant Portugal;GEO_43579;{K};Portugal;37.9583;-8.8048;1;2009;;http://globalenergyobservatory.org/select.php;82;;Natural Gas;; 
Rovinari Coal Power Station Romania;GEO_40968;{K};Rumaenien;44.9068;23.1383;1;1972;;http://globalenergyobservatory.org/select.php;1320;;Lignite;Natural Gas; 
Mintia-Deva Power Station Romania;GEO_40969;{K};Rumaenien;45.9134;22.8254;1;1970;;http://globalenergyobservatory.org/select.php;1285;;Sub-bituminous;Natural Gas; 
Petrom Brazi CCGT Power Plant Romania;GEO_42206;{K};Rumaenien;44.8802;25.9988;1;2011;;http://globalenergyobservatory.org/select.php;860;;Natural Gas;; 
Iernut-Ludus (Mures) Power Station Romania;GEO_40973;{K};Rumaenien;46.4677;24.1833;1;1963;;http://globalenergyobservatory.org/select.php;800;;Natural Gas;; 
Isalnita Coal Power Plant Romania;GEO_40970;{K};Rumaenien;44.3886;23.718;1;;;http://globalenergyobservatory.org/select.php;630;;Lignite;Natural Gas; 
Craiova II Coal Power Station Romania;GEO_40971;{K};Rumaenien;44.345;23.8156;1;1987;;http://globalenergyobservatory.org/select.php;300;;Lignite;Natural Gas; 
CET Bucharest-Progresu CHPP Power Plant Romania;GEO_41136;{K};Rumaenien;44.372;26.1073;1;1987;;http://globalenergyobservatory.org/select.php;200;;Natural Gas;Fuel Oil; 
CET Govora Coal CHPP Romania;GEO_41143;{K};Rumaenien;45.04;24.29;1;1975;;http://globalenergyobservatory.org/select.php;200;;Lignite;Natural Gas; 
CET Bacau CHPP Romania;GEO_41141;{K};Rumaenien;46.531;26.938;1;1998;;http://globalenergyobservatory.org/select.php;74.25;;Lignite;Natural Gas; 
Nya Öresundsverket CHP CCGT Power Plant Sweden;GEO_44338;{K};Schweden;55.6261;13.04045;1;2009;;http://globalenergyobservatory.org/select.php;440;250;Natural Gas;Light Fuel Oil/Diesel; 
Rya CHP CCGT Power Plant Sweden;GEO_42884;{K};Schweden;57.6924;11.8905;1;2006;;http://globalenergyobservatory.org/select.php;261;;Natural Gas;; 
Alstom Test Center Birr GT Power Plant Switzerland;GEO_45622;{K};Schweit;47.4336;8.2176;1;2001;;http://globalenergyobservatory.org/select.php;315;;Natural Gas;; 
Vojany (EVO) Thermal Power Plant Slovakia;GEO_42632;{K};Slovakei;48.5536;21.97817;1;1965;;http://globalenergyobservatory.org/select.php;880;;Coal Anthracite;Natural Gas; 
Malzenice CCGT Power Plant Slovakia;GEO_42638;{K};Slovakei;48.4296;17.6978;1;2010;;http://globalenergyobservatory.org/select.php;430;;Natural Gas;; 
PPC Bratislava CCGT CHP Power Plant Slovakia;GEO_42640;{K};Slovakei;48.1775;17.1548;1;1998;;http://globalenergyobservatory.org/select.php;218;;Natural Gas;; 
Levice CCGT CHP Power Plant Slovakia;GEO_42639;{K};Slovakei;48.2022;18.597;1;2007;;http://globalenergyobservatory.org/select.php;80;32;Natural Gas;; 
Arcos de la Frontera CCGT Power Plant Spain;GEO_43795;{K};Spanien;36.6721;-5.8164;1;2005;;http://globalenergyobservatory.org/select.php;1600;;Natural Gas;; 
Sagunto CCGT Power Plant Spain;GEO_43374;{K};Spanien;39.6426;-0.2344;1;2007;;http://globalenergyobservatory.org/select.php;1212.6;;Natural Gas;; 
Cartagena (Escombreras GN) CCGT Power Plant Spain;GEO_43777;{K};Spanien;37.5732;-0.9392;1;2006;;http://globalenergyobservatory.org/select.php;1200;;Natural Gas;; 
Cartegana (El Fangal) CCGT Power Plant Spain;GEO_43778;{K};Spanien;37.5709;-0.9458;1;2006;;http://globalenergyobservatory.org/select.php;1200;;Natural Gas;; 
Palos de la Frontera CCGT Power Plant Spain;GEO_43799;{K};Spanien;37.1843;-6.8857;1;2004;;http://globalenergyobservatory.org/select.php;1200;;Natural Gas;Fuel Oil; 
Soto de Ribera CCGT Power Plant Spain;GEO_43675;{K};Spanien;43.3161;-5.8777;1;2008;;http://globalenergyobservatory.org/select.php;865.5;;Natural Gas;Light Fuel Oil/Diesel; 
Besos-5 CCGT Power Plant Spain;GEO_43818;{K};Spanien;41.41958;2.2294;1;2011;;http://globalenergyobservatory.org/select.php;859;;Natural Gas;; 
Castejon HCE CCGT Power Plant Spain;GEO_43676;{K};Spanien;42.1773;-1.6943;1;2002;;http://globalenergyobservatory.org/select.php;855.3;;Natural Gas;; 
Castellon 4 CCGT Power Plant Spain;GEO_43783;{K};Spanien;39.95925;-0.00098;1;2008;;http://globalenergyobservatory.org/select.php;854;;Natural Gas;; 
As Pontes (Puentes Garcia Rodrigues) CCGT Power Plant Spain;GEO_43803;{K};Spanien;43.4451;-7.8621;1;2008;;http://globalenergyobservatory.org/select.php;850;;Natural Gas;; 
Puerto de Barcelona CCGT Power Plant Spain;GEO_43761;{K};Spanien;41.3366;2.1594;1;2011;;http://globalenergyobservatory.org/select.php;850;;Natural Gas;; 
Escombreras Iberdrola CCGT Power Plant Spain;GEO_43776;{K};Spanien;37.5653;-0.9514;1;2006;;http://globalenergyobservatory.org/select.php;840;;Natural Gas;Fuel Oil; 
E.ON Escatron CCGT Power Plant Spain;GEO_43766;{K};Spanien;41.2977;-0.3376;1;2007;;http://globalenergyobservatory.org/select.php;804;;Natural Gas;; 
Arrubal CCGT Power Plant Spain;GEO_43801;{K};Spanien;42.4194;-2.2511;1;2005;;http://globalenergyobservatory.org/select.php;800;;Natural Gas;Gas Oil; 
Bahia de Algeciras CCGT Power Plant Spain;GEO_43798;{K};Spanien;36.1829;-5.3905;1;2011;;http://globalenergyobservatory.org/select.php;800;;Natural Gas;Fuel Oil; 
Bahia de Bizkaia (BBE) CCGT Power Plant Spain;GEO_43768;{K};Spanien;43.3592;-3.093;1;2003;;http://globalenergyobservatory.org/select.php;800;;Natural Gas;Light Fuel Oil/Diesel; 
Campo de Gibraltar CCGT Power Plant Spain;GEO_43796;{K};Spanien;36.1834;-5.3933;1;2004;;http://globalenergyobservatory.org/select.php;800;;Natural Gas;; 
Plana Del Vent CCGT Power Plant Italy;GEO_43763;{K};Spanien;40.9596;0.8692;1;2007;;http://globalenergyobservatory.org/select.php;800;;Natural Gas;Light Fuel Oil/Diesel; 
Castellon 3 CCGT Power Plant Spain;GEO_43784;{K};Spanien;39.9557;0.0017;1;2002;;http://globalenergyobservatory.org/select.php;795;;Natural Gas;; 
Castelnou CCGT Power Plant Spain;GEO_43802;{K};Spanien;41.2167;-0.2928;1;2006;;http://globalenergyobservatory.org/select.php;760;;Natural Gas;; 
Amorebieta (Boroa) CCGT Power Plant Spain;GEO_43767;{K};Spanien;43.234722;-2.749722;1;2005;;http://globalenergyobservatory.org/select.php;755;;Natural Gas;; 
Son Reus CCGT Power Plant Spain;GEO_43817;{K};Spanien;39.6484;2.6811;1;2000;;http://globalenergyobservatory.org/select.php;601.5;;Natural Gas;Light Fuel Oil/Diesel; 
Meirama Coal Power Plant Spain;GEO_43830;{K};Spanien;43.1685;-8.4111;1;1980;;http://globalenergyobservatory.org/select.php;563;;Coal bituminous and lignite;Natural Gas; 
Cas Tresorer CCGT Power Plant Spain;GEO_43816;{K};Spanien;39.5672;2.6895;1;2006;;http://globalenergyobservatory.org/select.php;460;;Natural Gas;Light Fuel Oil/Diesel; 
Tarragona Power CCGT Power Plant Spain;GEO_43764;{K};Spanien;41.1096;1.1817;1;2004;;http://globalenergyobservatory.org/select.php;424;;Natural Gas;; 
Besos-3 (Sant Adria)  CCGT Power Plant Spain;GEO_43770;{K};Spanien;41.4181;2.2286;1;2002;;http://globalenergyobservatory.org/select.php;412;;Natural Gas;; 
E.ON Tarragona CCGT Power Plant Spain;GEO_43762;{K};Spanien;41.1081;1.1912;1;2003;;http://globalenergyobservatory.org/select.php;410;;Natural Gas;; 
Besos-4 (Sant Adria)  CCGT Power Plant Spain;GEO_43841;{K};Spanien;41.4187;2.2286;1;2002;;http://globalenergyobservatory.org/select.php;407;;Natural Gas;; 
San Roque-2 (Endesa) CCGT Power Plant Spain;GEO_43843;{K};Spanien;36.1955;-5.4131;1;2002;;http://globalenergyobservatory.org/select.php;402;;Natural Gas;Fuel Oil; 
Aceca-3 Iberdrola CCGT Power Plant Spain;GEO_43789;{K};Spanien;39.9442;-3.8558;1;2005;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;; 
Aceca-4 Fenosa CCGT Power Plant Spain;GEO_43788;{K};Spanien;39.9427;-3.8548;1;2006;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;Fuel Oil; 
Castejon-2 Iberdrola CCGT Power Plant Spain;GEO_43800;{K};Spanien;42.1718;-1.6773;1;2003;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;Light Fuel Oil/Diesel; 
Cristobal Colon CCGT Power Plant Spain;GEO_43797;{K};Spanien;37.2156;-6.943;1;2006;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;Fuel Oil; 
Malaga (Campanillas) CCGT Power Plant Spain;GEO_43794;{K};Spanien;36.7495;-4.5631;1;2011;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;; 
Sabon CCGT Power Plant Spain;GEO_43380;{K};Spanien;43.329;-8.503;1;2008;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;; 
San Roque-1 (GasNatural)  CCGT Power Plant Spain;GEO_43759;{K};Spanien;36.1955;-5.4131;1;2002;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;Fuel Oil; 
Santurtzi (Santurce) CCGT Power Plant Spain;GEO_43769;{K};Spanien;43.34;-3.05394;1;2005;;http://globalenergyobservatory.org/select.php;400;;Natural Gas;; 
Puertollano IGCC Power Plant Spain;GEO_43786;{K};Spanien;38.6478;-4.1214;1;1996;;http://globalenergyobservatory.org/select.php;335;;Coal;Natural Gas; 
Escatron Peaker CCGT Power Plant Spain;GEO_43819;{K};Spanien;41.2976;-0.3395;1;2007;;http://globalenergyobservatory.org/select.php;285;;Natural Gas;; 
TEXT;TEXT;TEXT;TEXT;REAL;REAL;REAL;REAL;REAL;TEXT;REAL;REAL;TEXT;TEXT; 
Detmarovice Coal Power Plant Czech;GEO_42198;{K};Tschechien;49.9058;18.4681;1;1975;;http://globalenergyobservatory.org/select.php;800;120;Coal;Natural Gas; 
Kladno CHP Thermal Power Plant Czech;GEO_42323;{K};Tschechien;50.15318;14.12898;1;2000;2014;http://globalenergyobservatory.org/select.php;516;272;Coal;Natural Gas; 
Vresova CCGT Power Plant Czech Republic;GEO_42326;{K};Tschechien;50.25764;12.6932;1;1995;;http://globalenergyobservatory.org/select.php;370;;Syn gas from Coal Gasification;Natural Gas; 
Dunamenti II Thermal Power Plant Hungary;GEO_42674;{K};Ungarn;47.3283;18.9169;1;1974;;http://globalenergyobservatory.org/select.php;1290;1000;Natural Gas;Fuel Oil; 
AES Tisza II Thermal Power Plant Hungary;GEO_42673;{K};Ungarn;48.9174;21.077;1;1977;;http://globalenergyobservatory.org/select.php;900;;Natural Gas;Fuel Oil; 
E.ON Gonyu CCGT Power Plant Hungary;GEO_42670;{K};Ungarn;47.7384;17.8033;1;2011;;http://globalenergyobservatory.org/select.php;433;;Natural Gas;; 
Csepel CCGT Power Plant Hungary;GEO_42667;{K};Ungarn;47.428;19.0525;1;2000;;http://globalenergyobservatory.org/select.php;403;;Natural Gas;Fuel Oil; 
Kelenfold CCGT CHP Power Plant Hungary;GEO_42678;{K};Ungarn;47.4624;19.0563;1;1995;;http://globalenergyobservatory.org/select.php;196;373;Natural Gas;Fuel Oil; 
Pannonpower (Pecs) Thermal Power Plant Hungary;GEO_42683;{K};Ungarn;46.0641;18.2634;1;1961;;http://globalenergyobservatory.org/select.php;182.4;;Natural Gas;Biomass; 
Lorenci OCGT Power Plant Hungary;GEO_42664;{K};Ungarn;47.71644;19.67779;1;2000;;http://globalenergyobservatory.org/select.php;170;;Natural Gas;Fuel Oil; 
Liter OCGT Power Plant Hungary;GEO_42666;{K};Ungarn;47.1075;18.0143;1;1998;;http://globalenergyobservatory.org/select.php;120;;Natural Gas;Fuel Oil; 
Sajoszoged OCGT Power Plant Hungary;GEO_42665;{K};Ungarn;47.9393;20.97;1;1998;;http://globalenergyobservatory.org/select.php;120;;Natural Gas;; 
Kispest CCGT CHP Power Plant Hungary;GEO_42680;{K};Ungarn;47.4568;19.1673;1;2004;;http://globalenergyobservatory.org/select.php;114;366;Natural Gas;Fuel Oil; 
Ujpest CCGT CHP Power Plant Hungary;GEO_42679;{K};Ungarn;47.554;19.1023;1;2002;;http://globalenergyobservatory.org/select.php;110;404;Natural Gas;; 
E.ON Debrecen OCGT CHP Power Plant Hungary;GEO_42669;{K};Ungarn;47.5185;21.6329;1;2001;;http://globalenergyobservatory.org/select.php;95;90;Natural Gas;; 
E.ON Nyiregyhaza OCGT CHP Power Plant Hungary;GEO_42671;{K};Ungarn;47.9569;21.6988;1;2007;;http://globalenergyobservatory.org/select.php;49;;Natural Gas;; 
BC (Borsodchem) CHP Power Plant Hungary;GEO_42682;{K};Ungarn;48.2453;20.6476;1;2001;;http://globalenergyobservatory.org/select.php;47;;Natural Gas;Fuel Oil; 
TVK CCGT CHP Power Plant Hungary;GEO_42681;{K};Ungarn;47.9144;21.0236;1;2004;;http://globalenergyobservatory.org/select.php;33.4;;Natural Gas;; 
