id;comment;comp_id;start_year;end_year;source;license;operator_name;pipe_name;is_H_gas;max_cap_M_m3_per_h;max_pressure_bar;max_power_MW;num_turb;turbine_fuel_isGas_1;turbine_type_1;turbine_power_1_MW;turbine_fuel_isGas_2;turbine_type_2;turbine_power_2_MW;turbine_fuel_isGas_3;turbine_type_3;turbine_power_3_MW;turbine_fuel_isGas_4;turbine_type_4;turbine_power_4_MW;turbine_fuel_isGas_5;turbine_type_5;turbine_power_5_MW;turbine_fuel_isGas_6;turbine_type_6;turbine_power_6_MW
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;TEXT;INT;REAL;REAL;REAL;INT;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL
[];[];[];[YYYY];[YYYY];[];[];[];[];[];[Mm^3/h];[bar];[MW];[num];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW]
Breheville;;Breheville;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Brighthouse;;Brighthouse;;;Googlemaps;;;;1;;;;;;;;;;;;;;;;;;;;;;
Brizambourg;;Brizambourg;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Bunde;;Bunde;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Bunde;;GASCADE;;1;1.2;90;;2;0;;6.4;0;;6.4;;;;;;;;;;;;
Cambridge;;Cambridge;1974;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;23;2;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;;;;
Captiex;;Captiex;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Carnforth;;Carnforth;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Carregado;;Carregado;2021;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
ChateauLandon;;ChateauLandon;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Chazelles;;Chazelles;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Chelmsford;;Chelmsford;1973;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;23;2;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;;;;
Chinchilla;;Chinchilla;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Churchover;;Churchover;1972;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;18.4;3;1;Orendas;;1;Orendas;;1;Orendas;;;;;;;;;;
Ciechanow;;Ciechanow;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Cieszyn;;Cieszyn;;;;;;;1;;;;3;;;30.1;;;30.1;;;25.4;;;;;;;;;
Cordoba;;Cordoba;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Courthezon;;Courthezon;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Crevillente;;Crevillente;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Denia;;Denia;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
DierreyStJulien;;DierreyStJulien;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Diss;;Diss;1977;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;34.5;3;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;
Dolyna;;Dolyna;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Drochia;;Drochia;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Eggendorf;;Eggendorf;;;;;;TAG;1;;;8;;;;;;;;;;;;;;;;;;;
Egtved;;Egtved;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Eischleben;;Eischleben;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Eischleben;;GASCADE;Stegal;1;1.9;90;;3;1;SGT700;30;1;SGT700;30;1;FT8;25.4;;;;;;;;;
Ellund;;Ellund;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Elten;;Elten;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
Embsen;;Embsen;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Embsen;;GasUnie;;1;0.65;100;;;;;;;;;;;;;;;;;;;;
Enna;;Enna;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
EntreDeuxGuiers;;EntreDeuxGuiers;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Euskadour;;Euskadour;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
EvryGregy;;EvryGregy;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Felindre;;Felindre;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Gallese;;Gallese;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Gernsheim;;Gernsheim;;;http://mysolar.cat.com/cda/files/870985/7/Solar_Turbines_5000_Gas_Compressor_News_Rel_Sent.pdf;;GASCADE,GRTgaz;MEGAL,MIDAL;1;;;58;6;1;;12.5;1;;12.5;1;;12.5;1;;12.5;1;;8;;;
Goleniow;;Goleniow;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Grafendorf;bei Hartberg;Grafendorf;;;;;;TAG;1;;;;;;;;;;;;;;;;;;;;;;
Griespass;;Griespass;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Grijpskerk;;Grijpskerk;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Gustorzyn;;Gustorzyn;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Gusyatin;;Gusyatin;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Haiming;;Haiming;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Haiming;;WINGAS;;1;0.34;;20;2;1;THM1304;;0;;;;;;;;;;;;;;
Hajduszoboszlo;;Hajduszoboszlo;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Haro;;Haro;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
HassiRMel;;HassiRMel;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Hatton;;Hatton;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Hespenbusch;;Hespenbusch;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Hespenbusch;;EXXON;;;0.23;;5.5;2;0;;2.75;0;;2.75;;;;;;;;;;;;
Hilvarenbeek;;Hilvarenbeek;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
HoraSvateKateriny;;HoraSvateKateriny;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
