name;comment;element_type;country;lat;long;exact;start;stop;source;capacity_E_MW;capacity_TH_MW;fuel1;fuel2;fuel3;fuel4;owner;gppd_idnr;url;geolocation_source;year_of_capacity_data;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;estimated_generation_gwh
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[double];[double];[str];[str];[str];[str];[str];[str];[str];[str];[yyyy];[GWh];[GWh];[GWh];[GWh];[GWh]
CRISTOBAL COLON;;{J};Spain;37.2156;-6.943;1;2006;;Red El«∏ctrica de Espa«Òa;390.94;;Gas;;;;ENDESA GENERACION S.A.;WRI1006404;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;706.4797923
CTCC ESCATRON;;{J};Spain;41.2977;-0.3376;1;2007;;Red El«∏ctrica de Espa«Òa;274.635;;Gas;;;;GLOBAL 3 COMBI  S.L.U.;WRI1006414;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;496.3014216
SNIACE;;{J};Spain;42.5273;-8.0086;1;;;Red El«∏ctrica de Espa«Òa;93;;Gas;;;;SNIACE  S.A.;WRI1007923;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;168.0631828
REPSOL PUERTOLLANO;;{J};Spain;38.6478;-4.1214;1;1994;;Red El«∏ctrica de Espa«Òa;80.5;;Gas;;;;REPSOL PETROLEO  S.A.;WRI1007845;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;145.4740453
PAPELERA GUIPUZCOANA;;{J};Spain;43.2596;-1.9688;1;;;Red El«∏ctrica de Espa«Òa;79.918;;Gas;;;;PAPELERA GUIPUZCOANA DE ZICUNAGA SA;WRI1007287;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;WRI;;;;;;144.4222951
ENCE ENERGIA HUELVA  S.L.U. $$;;{J};Spain;37.2583;-6.9508;1;2012;;Red El«∏ctrica de Espa«Òa;50;;Gas;;;;ENCE ENERGIA HUELVA S.L.U.;WRI1006455;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;90.35654989
MAHON TG4;;{J};Spain;39.8964;4.2597;1;2008;;Red El«∏ctrica de Espa«Òa;50;;Gas;;;;GAS Y ELECTRICIDAD GENERACION  S.A.U;WRI1006662;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;90.35654989
COGENERACION MOTRIL;;{J};Spain;36.7334;-3.5413;1;2001;;Red El«∏ctrica de Espa«Òa;48.8;;Gas;;;;COGENERACION MOTRIL  S.A.;WRI1006377;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;88.1879927
NEUMATICOS MICHELIN-VITORIA;;{J};Spain;42.85;-2.6667;1;;;Red El«∏ctrica de Espa«Òa;47;;Gas;;;;ENERGYWORKS VIT-VALL  S.L.;WRI1006705;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;84.9351569
MICHELIN VALLADOLID $$;;{J};Spain;41.6552;-4.7237;1;;;Red El«∏ctrica de Espa«Òa;46;;Gas;;;;ENERGYWORKS VIT-VALL  S.L.;WRI1006678;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;83.1280259
TORTOSA ENERGIA;;{J};Spain;40.8125;0.5216;1;2011;;Red El«∏ctrica de Espa«Òa;39.58;;Gas;;;;TORTOSA ENERGIA  SA;WRI1007975;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;71.5262449
MICHELIN ARANDA;;{J};Spain;41.6704;-3.6892;1;2003;;Red El«∏ctrica de Espa«Òa;31.866;;Gas;;;;ENERGYWORKS ARANDA  S.L.;WRI1006677;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;57.58603638
ENCE - PONTEVEDRA $$;;{J};Spain;42.4167;-8.6667;1;2008;;Red El«∏ctrica de Espa«Òa;26.62;;Gas;;;;GRUPO EMPRESARIAL ENCE  S.A.;WRI1006454;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;48.10582716
COGENERACION NAVIA;;{J};Spain;43.5354;-6.7193;1;;;Red El«∏ctrica de Espa«Òa;24;;Gas;;;;INDUSTRIAS LACTEAS ASTURIANAS  S.A.;WRI1006378;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;43.37114395
FINSA-SANTIAGO;;{J};Spain;42.8805;-8.5457;1;2002;;Red El«∏ctrica de Espa«Òa;23.96;;Gas;;;;COGENERACION DEL NOROESTE  S.L.;WRI1006480;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;43.29885871
TRUCHAS DEL CINCA;;{J};Spain;42.1519;0.2225;1;1999;;Red El«∏ctrica de Espa«Òa;23.92;;Gas;;;;NEO SC EL GRADO  SLU;WRI1007994;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;43.22657347
TORRASPAPEL-MONTANANESA;;{J};Spain;41.6561;-0.8773;1;;;Red El«∏ctrica de Espa«Òa;22;;Gas;;;;TORRASPAPEL  S.A;WRI1007973;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;39.75688195
ECOCARBURANTES;;{J};Spain;37.6051;-0.9862;1;2012;;Red El«∏ctrica de Espa«Òa;21.666;;Gas;;;;ECOCARBURANTES ESPANOLES S.A.;WRI1006426;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;39.1533002
PLANTA SECADO TERMICO DE LODOS E.R.A.R. DE BUTARQUE;;{J};Spain;37.5624;-5.1254;1;;;Red El«∏ctrica de Espa«Òa;18;;Gas;;;;SUFI  SA (70%) Y CADAGUA  SA (30%);WRI1007779;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;32.52835796
AZULIBER;;{J};Spain;40.0667;-0.2;1;;;Red El«∏ctrica de Espa«Òa;17.763;;Gas;;;;AZULIBER 1 S.L.;WRI1006221;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;32.10006792
GARONA VERDA;;{J};Spain;42.7753;-3.2073;1;1999;;Red El«∏ctrica de Espa«Òa;14.95;;Gas;;;;NEO SC ARAN  SLU;WRI1006494;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;27.01660842
COTASA;;{J};Spain;40.0667;-0.2;1;;;Red El«∏ctrica de Espa«Òa;14.071;;Gas;;;;TIERRA ATOMIZADA  S.A.;WRI1006403;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;25.42814027
GUASCOR;;{J};Spain;42.2793;-1.7463;1;;;Red El«∏ctrica de Espa«Òa;13.5;;Gas;;;;GUASCOR INVESTIGACION Y DESARROLLO;WRI1006523;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;24.39626847
COLORTEX;;{J};Spain;38.8167;-0.6167;1;;;Red El«∏ctrica de Espa«Òa;12.68;;Gas;;;;COLORTEX  S.A.;WRI1006390;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;22.91442105
GENSABON;;{J};Spain;43.3048;-8.5075;1;1999;;Red El«∏ctrica de Espa«Òa;12;;Gas;;;;GENSABON  S.A.;WRI1006500;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;21.68557197
FERTIMOLINA;;{J};Spain;40.8436;-1.8876;1;2000;;Red El«∏ctrica de Espa«Òa;10;;Gas;;;;FERTIMOLINA  S.A.;WRI1006477;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;18.07130998
NUFRI;;{J};Spain;41.6333;0.9;1;2005;;Red El«∏ctrica de Espa«Òa;10;;Gas;;;;SAT NUM.1596 NUFRI;WRI1006706;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;18.07130998
SALINAS BRAS DEL PORT  S.A.;;{J};Spain;42.5741;0.1824;1;;;Red El«∏ctrica de Espa«Òa;10;;Gas;;;;BRAS DEL PORT  S.A.;WRI1007864;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;18.07130998
TIOXIDE EUROPE S.L.;;{J};Spain;37.2583;-6.9508;1;2009;;Red El«∏ctrica de Espa«Òa;10;;Gas;;;;TIOXIDE EUROPE S.L.;WRI1007968;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;CARMA;;;;;;18.07130998
V«œrme;;{J};Sweden;59.3532;18.0985;1;1980;;Fortum Sweden;639;;Gas;;;;Fortum;WRI1019441;http://www.fortum.com/en/corporation/fortumworldwide/sweden/pages/default.aspx;WRI;;;;;;196.9455224
Nya «?resundsverket;;{J};Sweden;55.6261;13.0404;1;;;E.ON;440;;Gas;;;;;WRI1029978;https://www.eon.se/oresundsverketeng;GEODB;;;;;;135.6119403
Rya;;{J};Sweden;57.6924;11.8905;1;;;Goteborg Energi;261;;Gas;;;;;WRI1029979;http://www.goteborgenergi.se/English/About_Goteborg_Energi%20(see%20annual%20reports);GEODB;;;;;;80.44253731
TEXT;TEXT;TEXT;TEXT;REAL;REAL;REAL;REAL;REAL;TEXT;[MW];[MW];TEXT;TEXT;TEXT;TEXT;TEXT;TEXT;TEXT;TEXT;REAL;REAL;REAL;REAL;REAL;REAL
Pembroke;;{J};United Kingdom;51.685;-4.99;1;;;Department for Business Energy & Industrial Strategy;2180;;Gas;;;;RWE Npower Plc;GBR1000372;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Staythorpe C;;{J};United Kingdom;53.073;-0.8585;1;;;Department for Business Energy & Industrial Strategy;1772;;Gas;;;;RWE Npower Plc;GBR1000373;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Didcot B;;{J};United Kingdom;51.6246;-1.2683;1;;;Department for Business Energy & Industrial Strategy;1470;;Gas;;;;RWE Npower Plc;GBR1000369;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Grain CHP;;{J};United Kingdom;51.4444;0.7114;1;;;Department for Business Energy & Industrial Strategy;1404;;Cogeneration;Gas;;;Uniper UK Limited;GBR1000495;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Connahs Quay;;{J};United Kingdom;53.2317;-3.0815;1;;;Department for Business Energy & Industrial Strategy;1380;;Gas;;;;Uniper UK Limited;GBR1000492;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
West Burton CCGT;;{J};United Kingdom;53.3631;-0.7976;1;;;Department for Business Energy & Industrial Strategy;1332;;Gas;;;;EDF Energy;GBR1000141;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
South Humber Bank;;{J};United Kingdom;53.6008;-0.1446;1;;;Department for Business Energy & Industrial Strategy;1310;;Gas;;;;Centrica;GBR1000074;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
VPI Immingham;;{J};United Kingdom;53.6366;-0.2395;1;;;Department for Business Energy & Industrial Strategy;1240;;Cogeneration;Gas;;;VPI Immingham LLP;GBR1000517;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Langage;;{J};United Kingdom;50.3882;-4.0118;1;;;Department for Business Energy & Industrial Strategy;905;;Gas;;;;Centrica;GBR1000073;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Severn Power;;{J};United Kingdom;51.5475;-2.975;1;;;Department for Business Energy & Industrial Strategy;850;;Gas;;;;MPF Operations Limited;GBR1000313;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Marchwood;;{J};United Kingdom;50.8998;-1.4384;1;;;Department for Business Energy & Industrial Strategy;842;;Gas;;;;Marchwood Power Limited;GBR1000311;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Rocksavage;;{J};United Kingdom;53.3147;-2.7232;1;;;Department for Business Energy & Industrial Strategy;810;;Gas;;;;Intergen;GBR1000212;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Damhead Creek;;{J};United Kingdom;51.4249;0.6014;1;;;Department for Business Energy & Industrial Strategy;805;;Gas;;;;Scottish Power: Thermal;GBR1000465;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Coryton;;{J};United Kingdom;51.5119;0.5079;1;;;Department for Business Energy & Industrial Strategy;800;;Gas;;;;Intergen;GBR1000211;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Little Barford;;{J};United Kingdom;52.2046;-0.2693;1;;;Department for Business Energy & Industrial Strategy;720;;Gas;;;;RWE Npower Plc;GBR1000371;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Rye House;;{J};United Kingdom;51.7626;0.0094;1;;;Department for Business Energy & Industrial Strategy;715;;Gas;;;;Scottish Power: Thermal;GBR1000466;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Medway;;{J};United Kingdom;51.4396;0.6894;1;;;Department for Business Energy & Industrial Strategy;700;;Gas;;;;Scottish and Southern: Thermal;GBR1000437;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Ballylumford C;;{J};United Kingdom;54.8428;-5.7853;1;;;Department for Business Energy & Industrial Strategy;616;;Gas;;;;AES;GBR1000001;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Killingholme;;{J};United Kingdom;53.6535;-0.2556;1;;;Department for Business Energy & Industrial Strategy;600;;Gas;;;;Uniper UK Limited;GBR1000500;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Ballylumford B;;{J};United Kingdom;54.845;-5.787;1;;;Department for Business Energy & Industrial Strategy;540;;Gas;;;;AES;GBR1000003;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Baglan Bay CCGT;;{J};United Kingdom;51.6145;-3.8352;1;;;Department for Business Energy & Industrial Strategy;520;;Gas;;;;MPF Operations Limited;GBR1000312;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Great Yarmouth;;{J};United Kingdom;52.5839;1.7338;1;;;Department for Business Energy & Industrial Strategy;420;;Gas;;;;RWE Npower Plc;GBR1000370;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Seabank 2;;{J};United Kingdom;51.5392;-2.67;1;;;Department for Business Energy & Industrial Strategy;410;;Gas;;;;Seabank Power Limited;GBR1000480;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Coolkeeragh;;{J};United Kingdom;55.0437;-7.2487;1;;;Department for Business Energy & Industrial Strategy;408;;Gas;;;;Coolkeeragh ESB Ltd;GBR1000075;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Enfield;;{J};United Kingdom;51.6625;-0.0225;1;;;Department for Business Energy & Industrial Strategy;408;;Gas;;;;Uniper UK Limited;GBR1000494;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Corby;;{J};United Kingdom;52.5104;-0.6814;1;;;Department for Business Energy & Industrial Strategy;401;;Gas;;;;Corby Power Ltd;GBR1000077;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Cottam Development Centre;;{J};United Kingdom;53.3051;-0.7858;1;;;Department for Business Energy & Industrial Strategy;395;;Gas;;;;Uniper UK Limited;GBR1000493;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Fellside CHP;;{J};United Kingdom;54.4184;-3.4883;1;;;Department for Business Energy & Industrial Strategy;180;;Cogeneration;Gas;;;Px Limited;GBR1000317;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Taylor's Lane GT;;{J};United Kingdom;51.5459;-0.2575;1;;;Department for Business Energy & Industrial Strategy;144;;Gas;;;;Uniper UK Limited;GBR1000499;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Kilroot OCGT;;{J};United Kingdom;54.7251;-5.7643;1;;;Department for Business Energy & Industrial Strategy;142;;Gas;;;;AES;GBR1000005;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Cowes;;{J};United Kingdom;50.7469;-1.2862;1;;;Department for Business Energy & Industrial Strategy;140;;Gas;;;;RWE Npower Plc;GBR1000376;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Indian Queens;;{J};United Kingdom;50.3955;-4.8996;1;;;Department for Business Energy & Industrial Strategy;140;;Oil;Gas;;;ENGIE;GBR1000150;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Ballylumford B OCGT;;{J};United Kingdom;54.845;-5.787;1;;;Department for Business Energy & Industrial Strategy;116;;Gas;;;;AES;GBR1000004;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Didcot GT;;{J};United Kingdom;51.6246;-1.2683;1;;;Department for Business Energy & Industrial Strategy;100;;Gas;;;;RWE Npower Plc;GBR1000377;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Drax GT;;{J};United Kingdom;53.7364;-0.9981;1;;;Department for Business Energy & Industrial Strategy;75;;Gas;;;;Drax Power Ltd;GBR1000112;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Blackburn;;{J};United Kingdom;53.75;-2.4833;1;;;Department for Business Energy & Industrial Strategy;59;;Gas;;;;Scottish Power: Thermal;GBR1000464;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Castleford;;{J};United Kingdom;53.7259;-1.3626;1;;;Department for Business Energy & Industrial Strategy;56;;Gas;;;;E.On UK;GBR1000113;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Grain GT;;{J};United Kingdom;51.4444;0.7114;1;;;Department for Business Energy & Industrial Strategy;56;;Gas;;;;Uniper UK Limited;GBR1000497;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Sandbach;;{J};United Kingdom;53.1623;-2.4037;1;;;Department for Business Energy & Industrial Strategy;56;;Gas;;;;E.On UK;GBR1000114;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Coolkeeragh OCGT;;{J};United Kingdom;55.0437;-7.2487;1;;;Department for Business Energy & Industrial Strategy;53;;Gas;;;;Coolkeeragh ESB Ltd;GBR1000076;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Aberthaw GT;;{J};United Kingdom;51.3875;-3.4068;1;;;Department for Business Energy & Industrial Strategy;51;;Gas;;;;RWE Npower Plc;GBR1000375;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Thornhill;;{J};United Kingdom;53.6908;-1.6291;1;;;Department for Business Energy & Industrial Strategy;50;;Gas;;;;E.On UK;GBR1000115;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Burghfield;;{J};United Kingdom;51.4563;-0.9711;1;;;Department for Business Energy & Industrial Strategy;45;;Oil;Gas;;;Scottish and Southern: Thermal;GBR1000441;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Chickerell;;{J};United Kingdom;50.6114;-2.4533;1;;;Department for Business Energy & Industrial Strategy;45;;Oil;Gas;;;Scottish and Southern: Thermal;GBR1000442;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
West Burton GT;;{J};United Kingdom;53.3631;-0.7976;1;;;Department for Business Energy & Industrial Strategy;40;;Gas;;;;EDF Energy;GBR1000146;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Slough;;{J};United Kingdom;51.5095;-0.5954;1;;;Department for Business Energy & Industrial Strategy;35;;Cogeneration;Coal;Waste;Gas;Scottish and Southern: Thermal;GBR1000439;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Ratcliffe GT;;{J};United Kingdom;52.8653;-1.255;1;;;Department for Business Energy & Industrial Strategy;34;;Gas;;;;Uniper UK Limited;GBR1000498;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Baglan Bay OCGT;;{J};United Kingdom;51.5924;-3.7802;1;;;Department for Business Energy & Industrial Strategy;32.3;;Gas;;;;MPF Operations Limited;GBR1000314;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Keadby GT;;{J};United Kingdom;53.5944;-0.7504;1;;;Department for Business Energy & Industrial Strategy;25;;Gas;;;;Scottish and Southern: Thermal;GBR1000443;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Little Barford GT;;{J};United Kingdom;52.2046;-0.2693;1;;;Department for Business Energy & Industrial Strategy;17;;Gas;;;;RWE Npower Plc;GBR1000378;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
Chippenham;;{J};United Kingdom;51.46;-2.1247;1;;;Department for Business Energy & Industrial Strategy;10;;Gas;;;;Scottish and Southern: Thermal;GBR1000440;https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;;;;;;;
