name;comment;element_type;country;lat;long;exact;start;stop;source;capacity_E_MW;capacity_TH_MW;fuel1;fuel2;fuel3;fuel4;owner;gppd_idnr;url;geolocation_source;year_of_capacity_data;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;estimated_generation_gwh
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[double];[double];[str];[str];[str];[str];[str];[str];[str];[str];[yyyy];[GWh];[GWh];[GWh];[GWh];[GWh]
HARCULO;;{J};Netherlands;52.468;6.1088;1;;;GDF Suez;349;;Gas;;;;GDF Suez;WRI1019306;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&ved=0ahUKEwilnu-T0aXOAhUBjz4KHT5VCjYQFggsMAI&url=http%3A%2F%2Fwww.engie.com%2Fwp-content%2Fuploads%2F2012%2F08%2FGDF_SUEZ_power_asset_table_vdef.xls&usg=AFQjCNHSG0cjbY0ZCS761mkpSWj0Z6E2zA&sig2=v45V3Rq0dF8CVwsH9bx9OQ&cad=rja;GEODB;;;;;;1930.968428
Centrale Merwedekanaal;;{J};Netherlands;52.1017;5.0794;1;;;TenneT;227;;Gas;;;;TenneT;WRI1005499;http://energieinfo.tennet.org/Production/InstalledCapacity.aspx;GEODB;;;;0;;1255.959407
Ijmond;;{J};Netherlands;52.4758;4.6048;1;1997;;Vattenfall;114;;Gas;;;;Vattenfall;WRI1019313;http://powerplants.vattenfall.com/ijmond;GEODB;;;;;;630.746134
EC Wè?ocè?awek;;{J};Poland;52.7074;18.9589;1;;;ENTSOE;491;;Gas;;;;;WRI1019049;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;2206.758;;2015.4453
EC Wrotk«¸w;;{J};Poland;51.215;22.5535;1;;;ENTSOE;231;;Gas;;;;;WRI1019058;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;1341.61;;948.2033898
Zielona G«¸ra;;{J};Poland;51.9513;15.488;1;;;ENTSOE;188;;Gas;;;;;WRI1019067;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;771.6979969
Blachownia;;{J};Poland;50.3557;18.2912;1;;;ENTSOE;158;;Gas;;;;;WRI1019069;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;;;648.5546995
EC Nowa Sarzyna;;{J};Poland;50.3167;22.3238;1;;;ENTSOE;129;;Gas;;;;;WRI1019077;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;;;529.5161787
EC Rzesz«¸w;;{J};Poland;50.0658;22.0285;1;;;ENTSOE;101;;Gas;;;;;WRI1019087;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;;;414.5824345
Ribatejo;;{J};Portugal;39.0118;-8.9521;1;2005;;ENTSOE;1176;;Gas;;;;;WRI1023228;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show?name=&defaultValue=true&viewType=TABLE&areaType=BZN&atch=false&dateTime.dateTime=01.01.2016+00:00|UTC|YEAR&area.values=CTY|10YPT-REN------W!BZN|10YPT-REN------W&productionType.values=B01&productionType.values=B02&productionType.values=B03&productionType.values=B04&productionType.values=B05&productionType.values=B06&productionType.values=B07&productionType.values=B08&productionType.values=B09&productionType.values=B10&productionType.values=B11&productionType.values=B12&productionType.values=B13&productionType.values=B14&productionType.values=B20&productionType.values=B15&productionType.values=B16&productionType.values=B17&productionType.values=B18&productionType.values=B19&DataTables_Table_0_length=50#;WRI;;;;756.626;;2098.925046
Tapada do Outeiro;;{J};Portugal;41.07;-8.4587;1;;;ENTSOE;990;;Gas;;;;;WRI1023229;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show?name=&defaultValue=true&viewType=TABLE&areaType=BZN&atch=false&dateTime.dateTime=01.01.2016+00:00|UTC|YEAR&area.values=CTY|10YPT-REN------W!BZN|10YPT-REN------W&productionType.values=B01&productionType.values=B02&productionType.values=B03&productionType.values=B04&productionType.values=B05&productionType.values=B06&productionType.values=B07&productionType.values=B08&productionType.values=B09&productionType.values=B10&productionType.values=B11&productionType.values=B12&productionType.values=B13&productionType.values=B14&productionType.values=B20&productionType.values=B15&productionType.values=B16&productionType.values=B17&productionType.values=B18&productionType.values=B19&DataTables_Table_0_length=50#;WRI;;;;2055.733;;1766.952207
Pego C.C.;;{J};Portugal;39.4689;-8.1113;1;;;ENTSOE;837;;Gas;;;;;WRI1023230;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show?name=&defaultValue=true&viewType=TABLE&areaType=BZN&atch=false&dateTime.dateTime=01.01.2016+00:00|UTC|YEAR&area.values=CTY|10YPT-REN------W!BZN|10YPT-REN------W&productionType.values=B01&productionType.values=B02&productionType.values=B03&productionType.values=B04&productionType.values=B05&productionType.values=B06&productionType.values=B07&productionType.values=B08&productionType.values=B09&productionType.values=B10&productionType.values=B11&productionType.values=B12&productionType.values=B13&productionType.values=B14&productionType.values=B20&productionType.values=B15&productionType.values=B16&productionType.values=B17&productionType.values=B18&productionType.values=B19&DataTables_Table_0_length=50#;WRI;;;;600.351;;1493.877775
Lares;;{J};Portugal;40.1245;-8.775;1;2009;;ENTSOE;826;;Gas;;;;;WRI1023231;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show?name=&defaultValue=true&viewType=TABLE&areaType=BZN&atch=false&dateTime.dateTime=01.01.2016+00:00|UTC|YEAR&area.values=CTY|10YPT-REN------W!BZN|10YPT-REN------W&productionType.values=B01&productionType.values=B02&productionType.values=B03&productionType.values=B04&productionType.values=B05&productionType.values=B06&productionType.values=B07&productionType.values=B08&productionType.values=B09&productionType.values=B10&productionType.values=B11&productionType.values=B12&productionType.values=B13&productionType.values=B14&productionType.values=B20&productionType.values=B15&productionType.values=B16&productionType.values=B17&productionType.values=B18&productionType.values=B19&DataTables_Table_0_length=50#;WRI;;;;1845.28;;1474.244973
TPP CCCC Petrom Brazi;;{J};Romania;44.8802;25.9988;1;2012;;ENTSOE;860;;Gas;;;;;WRI1019097;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;2079.188544
TPP Iernut;;{J};Romania;46.4677;24.1833;1;;;ENTSOE;751;;Gas;;;;;WRI1019098;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;GEODB;;;;;;1815.663484
TPP  Braila;;{J};Romania;45.166;27.9235;1;;;ENTSOE;413;;Gas;;;;;WRI1019101;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;;;998.4940334
