Country;Type;EIC Code;Short Name;Name;nameShort
DE;Storage Facility;21W000000000097J;;UGS Epe (KGE);UGS Epe
DE;SSO;37X000000000042Z;MND Gas Storage Germany;MND Gas Storage Germany GmbH;MND Gas Storage Germany GmbH
DE;Storage Facility;21W000000000064Y;;UGS Haehnlein (historical data prior to 01/04/2016);UGS Haehnlein
DE;Storage Facility;21W0000000000621;;UGS Stockstadt (historical data prior to 01/04/2016);UGS Stockstadt
DE;Storage Group;37Y000000000386Q;;VGS Zone MND GSG (UGS Stockstadt + UGS Haehnlein);Stockstadt
DE;SSO;11XNERGIE------1;N-ERGIE;N-ERGIE AG;N-ERGIE AG
DE;Storage Facility;21Z000000000321Z;;UGS Eschenfelden;UGS Eschenfelden
DE;SSO;37X0000000000119;NUON Epe Gasspeicher;NUON Epe Gasspeicher GmbH;NUON Epe Gasspeicher GmbH
DE;Storage Facility;21W000000000005D;;UGS Enschede - Epe (Nuon);Epe
DE;SSO;25X-OMVGASSTORA5;OMV Gas Storage Germany;OMV Gas Storage Germany GmbH;OMV Gas Storage Germany GmbH
DE;Storage Facility;21W000000000056X;;UGS Etzel ESE (OMV);UGS Etzel
DE;SSO;11XSWHANNOVERAG3;Stadtwerke Hannover;Stadtwerke Hannover AG;Stadtwerke Hannover AG
DE;Storage Facility;21Z0000000004002;;UGS Ronnenberg-Empelde;UGS Ronnenberg-Empelde
DE;SSO;37X000000000051Y;Stadtwerke Kiel Speicher;Stadtwerke Kiel Speicher GmbH;Stadtwerke Kiel Speicher GmbH
DE;Storage Facility;21W0000000001164;;UGS Kiel-Rönne (Stadtwerke Kiel);UGS Kiel-Roenne
DE;SSO;21X000000001072G;Storengy Deutschland;Storengy Deutschland GmbH;Storengy Deutschland GmbH
DE;Storage Facility;21W000000000090X;;UGS Bremen-Lesum (Storengy Deutschland);UGS Bremen-Lesum
DE;Storage Facility;21W000000000091V;;UGS Fronhofen-Trigonodus;UGS Fronhofen-Trigonodus
DE;Storage Facility;21W000000000092T;;UGS Harsefeld;UGS Harsefeld
DE;Storage Facility;21W0000000000273;;UGS Peckensen;UGS Peckensen
DE;Storage Facility;21W000000000089I;;UGS Schmidthausen;UGS Schmidthausen
DE;Storage Facility;21W000000000093R;;UGS Uelsen;UGS Uelsen
DE;SSO;11XSWB-BREMEN--I;swb Vertrieb Bremen;swb Vertrieb Bremen GmbH;swb Vertrieb Bremen GmbH
DE;Storage Facility;21W000000000090X;;UGS Bremen-Lesum (SWB);UGS Bremen-Lesum
DE;SSO;21X000000001307F;TEP;Thüringer Energie Speichergesellschaft mbH (TEP);Thüringer Energie Speichergesellschaft mbH (TEP)
DE;Storage Facility;21W000000000030E;;UGS Allmenhausen;UGS Allmenhausen
DE;SSO;21X000000001310Q;Trianel Gasspeicher Epe;Trianel Gasspeicher Epe GmbH;Trianel Gasspeicher Epe GmbH
DE;Storage Facility;21W000000000085Q;;UGS Epe Trianel;UGS Epe
DE;SSO;21X000000001127H;Uniper Energy Storage;Uniper Energy Storage GmbH;Uniper Energy Storage GmbH
DE;Storage Facility;21W0000000000613;;UGS Bierwang;UGS Bierwang
DE;Storage Facility;21W0000000000605;;UGS Breitbrunn;UGS Breitbrunn
DE;Storage Facility;21W000000000066U;;UGS Epe Uniper H-Gas;UGS Epe H
