Country 	Type 	EIC Code 	Short Name 	Name
FR 	Storage Group 	21W000000000068Q 		VGS Lussagnet (TERÉGA)
GB 	SSO 	23X-EDFE-------W 	EDF 	EDF Energy
GB 	Storage Facility 	21Z000000000227R 		UGS Holehouse Farm Storage
GB 	SSO 	55XHUMBLYGROVE1H 	Humbly Grove Energy 	Humbly Grove Energy Ltd
GB 	Storage Facility 	55WHUMBLY1GROVER 		UGS Humbly Grove
GB 	SSO 	23XSCOTTISHPOWEF 	Scottish Power 	Scottish Power Ltd
GB 	Storage Facility 	21Z000000000229N 		UGS Hatfield Moors Storage
GB 	SSO 	23X--140207-SSE9 	SSE Gas Storage 	SSE Gas Storage
GB 	Storage Facility 	55WALDBOROUGH00H 		UGS Aldbrough I
GB 	Storage Facility 	55WATWICK-SSE00J 		UGS Atwick
GB 	SSO 	48XSTORENGYUK01P 	Storengy UK 	Storengy UK
GB 	Storage Facility 	21W000000000101H 		UGS Stublach
GB 	SSO 	21X0000000013716 	Uniper Energy Storage Ltd 	Uniper Energy Storage Limited
GB 	Storage Facility 	21W000000000112C 		UGS Holford
HR 	SSO 	31X-PSP-OSS-HR-D 	PSP 	Podzemno skladište plina d.o.o.
HR 	Storage Facility 	21W000000000077P 		UGS Okoli
HU 	SSO 	21X0000000013635 	Magyar Földgáztároló 	MAGYAR FÖLDGÁZTÁROLÓ ZÁRTKÖRUEN MUKÖDO RÉSZVÉNYTÁRSASÁG
HU 	Storage Group 	21W000000000087M 		VGS MFGT (Pusztaederics, Zsana-Nord, Kardoskút-Pusztaszolos, Hajdúszoboszló)
HU 	SSO 	21X0000000013643 	MMBF 	MMBF - Földgáztároló Zártköruen Muködo Részvénytársaság
HU 	Storage Facility 	21W000000000086O 		UGS Szöreg-1
IE 	SSO 	47X0000000000584 	Kinsale Energy 	PSE Kinsale Energy Limited
IE 	Storage Facility 	47W000000000245J 		UGS Kinsale Southwest
IT 	SSO 	21X0000000013651 	Edison Stoccaggio 	Edison Stoccaggio S.p.A.
IT 	Storage Group 	21W000000000095N 		VGS Edison Stoccaggio (Collalto, Cellino, San Potito & Cotignola)
IT 	SSO 	59X4-IGSTORAGE-T 	IGS 	IGS S.p.A.
IT 	Storage Facility 	59W-IGSTORAGE-0Q 		UGS Cornegliano
IT 	SSO 	21X000000001250I 	Stogit 	Stogit S.p.A.
IT 	Storage Group 	21Z000000000274I 		VGS STOGIT (Fiume Treste, Bordolano, Sabbioncello, Minerbio, Sergnano, Ripalta, Cortemaggiore, Brugherio, Settala)
LV 	SSO 	21X000000001379R 	Conexus Baltic Grid 	JSC Conexus Baltic Grid
LV 	Storage Facility 	21W000000000113A 		UGS Incukalns
NL 	SSO 	21X000000001057C 	EnergyStock 	EnergyStock BV
NL 	Storage Facility 	21W000000000006B 		UGS EnergyStock
NL 	SSO 	21X000000001075A 	NAM 	Nederlandse Aardolie Maatschappij B.V.
NL 	Storage Facility 	21W000000000001L 		UGS Grijpskerk
NL 	Storage Facility 	21W000000000015A 		UGS Norg (Langelo)
NL 	SSO 	21X000000001120V 	TAQA Gas Storage 	TAQA Gas Storage B.V.
NL 	Storage Facility 	21W0000000000087 		UGS Bergermeer
NL 	SSO 	21X0000000013732 	TAQA Piek Gas 	TAQA Piek Gas B.V.
NL 	Storage Facility 	21W000000000002J 		UGS Alkmaar
PL 	SSO 	53XPL000000OSMP5 	GSP 	Gas Storage Poland sp. z o.o. (GSP)
PL 	Storage Group 	PRIOR_OSM_000001 		GSP historical data prior to 4 Feb 2014
PL 	Storage Facility 	21Z000000000381H 		UGS Wierzchowice
PL 	Storage Group 	21Z000000000383D 		VGS GIM Kawerna (Kosakowo, Mogilno)
PL 	Storage Group 	21Z000000000382F 		VGS GIM Sanok (Brzeznica, Husow, Strachocina, Swarzow)
PT 	SSO 	21X0000000013627 	REN Armazenagem 	REN Armazenagem S.A.
PT 	Storage Facility 	16ZAS01--------8 		UGS Carriço
RO 	SSO 	21X000000001300T 	Depomures 	Depomures SA
RO 	Storage Facility 	21Z000000000309P 		UGS Târgu Mures
RO 	SSO 	21X-DEPOGAZ-AGSI 	Depogaz Ploie?ti 	SNGN ROMGAZ SA FILIALA DE INMAGAZINARE GN DEPOGAZ PLOIESTI SRL / AGSI+
RO 	Storage Facility 	21Z0000000003111 		UGS Balaceanca
RO 	Storage Facility 	21Z000000000313Y 		UGS Bilciuresti
RO 	Storage Facility 	21Z000000000316S 		UGS Cetatea de Balta
RO 	Storage Facility 	21Z000000000315U 		UGS Ghercesti
RO 	Storage Facility 	21Z000000000314W 		UGS Sarma?el
RO 	Storage Facility 	21Z0000000003103 		UGS Urziceni
SE 	SSO 	21X-SE-A-A0A0A-F 	Swedegas 	Swedegas AB
SE 	Storage Facility 	21W0000000000435 		UGS Skallen
SK 	SSO 	42X-NAFTA-SK---U 	Nafta 	Nafta a.s.
SK 	Storage Facility 	21W000000000088K 		UGS Láb (incl. Gajary baden)
SK 	SSO 	42X-POZAGAS-SK-V 	Pozagas 	Pozagas a.s.
SK 	Storage Facility 	21W000000000047Y 		UGS Lab IV - Pozagas
UA 	SSO 	21X0000000013279 	Ukrtransgaz 	PJSC “UKRTRANSGAZ”
UA 	Storage Facility 	56W-UGS-BILCHE-4 		UGS Bilche-Volytsko-Uherske
UA 	Storage Facility 	56W-UGS-BOHORO-4 		UGS Bohorodchanske
UA 	Storage Facility 	56W-UGS-CHERVO-W 		UGS Chervonopartyzanske
UA 	Storage Facility 	56W-UGS-DASHAV-S 		UGS Dashavske
UA 	Storage Facility 	56W-UGS-KEHYCH-X 		UGS Kehychivske
UA 	Storage Facility 	56W-UGS-KRPOPY-Q 		UGS Krasnopopivske
UA 	Storage Facility 	56W-UGS-OLYSHI-5 		UGS Olyshivske
UA 	Storage Facility 	56W-UGS-OPARSK-2 		UGS Oparske
UA 	Storage Facility 	56W-UGS-PROLET-T 		UGS Proletarske
UA 	Storage Facility 	56W-UGS-SOLOKH-4 		UGS Solokhivske
UA 	Storage Facility 	56W-UGS-UHERSK-N 		UGS Uherske (XIV-XV)
UA 	Storage Facility 	56W-UGS-VERHUN-S 		UGS Verhunske
