CompName;AttribName;NumElements;ModelName;NumFeatures;FeatureNames;Plots;NumSamples;NumFill;BIC;MeanAbsError;R_2;R_2_adj;ReplaceType;ModelParam
PipeSegments;diameter_mm;532;Lasso;1;"[""max_cap_M_m3_per_d""]";./PipeSegments/AttribRelationPlots/diameter_mm/diameter_mm_Lasso (L1O)_max_cap_M_m3_per_d.png;99;119;1021.418003;123.2801538;0.614666507;0.610693997;fill;"{""SC_Mean"": [53.530479656363624], ""SC_Scale"": [26.978814494686016], ""Intercept"": 1075.8009377444212, ""Coef"": [213.6471983563451]}"
PipeSegments;diameter_mm;532;Mean;1;"[""diameter_mm""]";./PipeSegments/AttribRelationPlots/diameter_mm/diameter_mm_Mean (L1O)_diameter_mm.png;346;532;3928.772706;250.2918841;-6.66E-16;-0.002906977;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 946.4884393063609, ""Coef"": [0]}"
PipeSegments;is_H_gas;532;LogisticReg;1;"[""diameter_mm""]";./PipeSegments/AttribRelationPlots/is_H_gas/is_H_gas_Logistic (L1O)_diameter_mm.png;345;346;-2010.179279;0.002898551;-0.002898551;-0.005813953;fill;"{""SC_Mean"": [946.4884393063584], ""SC_Scale"": [289.7355452251732], ""Intercept"": 5.8438217838554065, ""Coef"": [0.0801354674748457]}"
PipeSegments;is_bothDirection;532;LogisticReg;1;"[""diameter_mm""]";./PipeSegments/AttribRelationPlots/is_bothDirection/is_bothDirection_Logistic (L1O)_diameter_mm.png;63;532;-68.1432198;0.317460317;-0.277890467;-0.298839491;fill;"{""SC_Mean"": [1005.936507936508], ""SC_Scale"": [217.24500637334495], ""Intercept"": -0.18603158272763168, ""Coef"": [-0.7324612772303084]}"
PipeSegments;max_cap_M_m3_per_d;532;Lasso;1;"[""diameter_mm""]";./PipeSegments/AttribRelationPlots/max_cap_M_m3_per_d/max_cap_M_m3_per_d_Lasso (L1O)_diameter_mm.png;99;532;562.9532472;11.1367477;0.61330644;0.609319909;fill;"{""SC_Mean"": [1075.79797979798], ""SC_Scale"": [273.77104567587907], ""Intercept"": 53.53003605193851, ""Coef"": [20.152039294288656]}"
PipeSegments;max_cap_M_m3_per_d;532;Mean;1;"[""max_cap_M_m3_per_d""]";./PipeSegments/AttribRelationPlots/max_cap_M_m3_per_d/max_cap_M_m3_per_d_Mean (L1O)_max_cap_M_m3_per_d.png;109;532;732.198301;24.0024996;-2.22E-16;-0.009345794;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 49.94200996311919, ""Coef"": [0]}"
PipeSegments;max_pressure_bar;532;Lasso;1;"[""diameter_mm""]";./PipeSegments/AttribRelationPlots/max_pressure_bar/max_pressure_bar_Lasso (L1O)_diameter_mm.png;253;439;1298.851181;7.874621679;0.125037392;0.121551485;fill;"{""SC_Mean"": [983.901185770751], ""SC_Scale"": [300.9986638030843], ""Intercept"": 75.29048730051925, ""Coef"": [3.971969258294844]}"
PipeSegments;max_pressure_bar;532;Median;1;"[""max_pressure_bar""]";./PipeSegments/AttribRelationPlots/max_pressure_bar/max_pressure_bar_Median (L1O)_max_pressure_bar.png;253;532;1332.757965;8.302371542;-0.000444878;-0.004430714;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 75.0, ""Coef"": [0]}"
