long,lat
-69.4352403,40.19842031
-23.50593074,12.07755695
-23.50593074,12.07755695
15.14763511,-28.75076443
15.14763511,-28.75076443
-108.7596908,-66.71467664
52.310358,-21.36113153
59.55592317,25.79800139
80.1,-35.47
-35.91798537,9.024509804
-35.91798537,9.024509804
-66.12553826,41.75021793
-66.12553826,41.75021793
-66.12553826,41.75021793
-52.49106833,30.03015469
-3.517950868,-68.59696066
48.38,-19.77
63.9,43.23
63.9,43.23
-38.17196295,8.156611848
-38.17196295,8.156611848
-20.9,18.0
-20.9,18.0
-20.9,18.0
-20.9,18.0
-42.1,9.5
-20.9,18.0
-20.9,18.0
-39.11,8.36
-27.76634909,2.584667775
