CompName;AttribName;NumElements;ModelName;NumFeatures;FeatureNames;Plots;NumSamples;NumFill;BIC;MeanAbsError;R_2;R_2_adj;ReplaceType;ModelParam
Storages;max_workingGas_M_m3;197;Mean;1;"[""max_workingGas_M_m3""]";./Storages/AttribRelationPlots/max_workingGas_M_m3/max_workingGas_M_m3_Mean (L1O)_max_workingGas_M_m3.png;166;197;2278.750458;593.6527601;0;-0.006097561;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 624.3949174106141, ""Coef"": [0]}"
Storages;max_cap_store2pipe_M_m3_per_d;197;Lasso;1;"[""max_workingGas_M_m3""]";./Storages/AttribRelationPlots/max_cap_store2pipe_M_m3_per_d/max_cap_store2pipe_M_m3_per_d_Lasso (L1O)_max_workingGas_M_m3.png;161;171;744.587048;7.127380371;0.449667524;0.446206313;fill;"{""SC_Mean"": [622.9753605650063], ""SC_Scale"": [950.082181025084], ""Intercept"": 11.657688173983285, ""Coef"": [8.040624187984994]}"
Storages;max_cap_store2pipe_M_m3_per_d;197;Mean;1;"[""max_cap_store2pipe_M_m3_per_d""]";./Storages/AttribRelationPlots/max_cap_store2pipe_M_m3_per_d/max_cap_store2pipe_M_m3_per_d_Mean (L1O)_max_cap_store2pipe_M_m3_per_d.png;161;197;840.7415097;9.931652748;0;-0.006289308;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 11.657718124129188, ""Coef"": [0]}"
Storages;is_H_gas;197;LogisticReg;1;"[""max_cap_pipe2store_M_m3_per_d""]";./Storages/AttribRelationPlots/is_H_gas/is_H_gas_Logistic (L1O)_max_cap_pipe2store_M_m3_per_d.png;16;197;-24.01103421;0.1875;-0.230769231;-0.318681319;fill;"{""SC_Mean"": [6.04671443355], ""SC_Scale"": [7.137945931929739], ""Intercept"": 1.4994327505809217, ""Coef"": [0.2715194458725737]}"
