CompName;AttribName;NumElements;ModelName;NumFeatures;FeatureNames;Plots;NumSamples;NumFill;BIC;MeanAbsError;R_2;R_2_adj;ReplaceType;ModelParam
LNGs;max_cap_store2pipe_M_m3_per_d;32;Lasso;1;"[""max_workingGas_M_m3""]";./LNGs/AttribRelationPlots/max_cap_store2pipe_M_m3_per_d/max_cap_store2pipe_M_m3_per_d_Lasso (L1O)_max_workingGas_M_m3.png;28;32;109.3976335;5.139576509;0.846356154;0.840446775;fill;"{""SC_Mean"": [256364758.0], ""SC_Scale"": [168704604.36290583], ""Intercept"": 24.67097422600713, ""Coef"": [14.618808518169368]}"
LNGs;max_workingGas_M_m3;32;Lasso;1;"[""max_cap_store2pipe_M_m3_per_d""]";./LNGs/AttribRelationPlots/max_workingGas_M_m3/max_workingGas_M_m3_Lasso (L1O)_max_cap_store2pipe_M_m3_per_d.png;28;30;1011.072388;56115986.45;0.849921806;0.844149568;fill;"{""SC_Mean"": [24.677103718199607], ""SC_Scale"": [16.95536899685853], ""Intercept"": 256419388.9646105, ""Coef"": [155675509.4957802]}"
LNGs;max_workingGas_M_m3;32;Lasso;1;"[""median_cap_store2pipe_M_m3_per_d""]";./LNGs/AttribRelationPlots/max_workingGas_M_m3/max_workingGas_M_m3_Lasso (L1O)_median_cap_store2pipe_M_m3_per_d.png;21;21;764.014682;69013582.41;0.786511052;0.775274792;fill;"{""SC_Mean"": [29.326994301428574], ""SC_Scale"": [16.12164666143002], ""Intercept"": 307695383.6078106, ""Coef"": [141868619.4708578]}"
LNGs;max_workingGas_M_m3;32;Mean;1;"[""max_workingGas_M_m3""]";./LNGs/AttribRelationPlots/max_workingGas_M_m3/max_workingGas_M_m3_Mean (L1O)_max_workingGas_M_m3.png;31;32;1180.275331;149945270.6;0;-0.034482759;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 233267628.6451613, ""Coef"": [0]}"
LNGs;median_cap_store2pipe_M_m3_per_d;32;Lasso;1;"[""max_cap_store2pipe_M_m3_per_d""]";./LNGs/AttribRelationPlots/median_cap_store2pipe_M_m3_per_d/median_cap_store2pipe_M_m3_per_d_Lasso (L1O)_max_cap_store2pipe_M_m3_per_d.png;21;32;85.35099147;5.710192458;0.806208046;0.796008469;fill;"{""SC_Mean"": [29.654272667971295], ""SC_Scale"": [16.40530592772688], ""Intercept"": 29.335243134365875, ""Coef"": [13.528058660610819]}"
